FinWise Bancorp Price to Free Cash Flow Ratio Historical Data,FinWise Bancorp Price to Free Cash Flow Ratio Historical Data,FinWise Bancorp Price to Free Cash Flow Ratio Historical Data,FinWise Bancorp Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,17.37,,0.0
2024-09-30,15.6,$-0.88,0.0
2024-06-30,10.21,$0.53,19.39
2024-03-31,10.05,$0.16,62.19
2023-12-31,14.31,$0.37,38.44
2023-09-30,8.64,$1.49,5.79
2023-06-30,8.95,$0.65,13.7
2023-03-31,8.81,$4.70,1.87
2022-12-31,9.26,$4.04,2.29
2022-09-30,9.03,$0.98,9.21
