Easterly Government Properties Price to Free Cash Flow Ratio Historical Data,Easterly Government Properties Price to Free Cash Flow Ratio Historical Data,Easterly Government Properties Price to Free Cash Flow Ratio Historical Data,Easterly Government Properties Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,10.59,,0.0
2024-12-31,11.36,$-1.68,0.0
2024-09-30,13.29,$-1.07,0.0
2024-06-30,11.87,$-0.74,0.0
2024-03-31,10.8,$-0.04,0.0
2023-12-31,12.33,$0.05,228.36
2023-09-30,10.24,$3.06,3.34
2023-06-30,12.74,$2.93,4.34
2023-03-31,11.85,$2.13,5.58
2022-12-31,12.09,$2.20,5.51
2022-09-30,13.14,$-1.11,0.0
2022-06-30,15.64,$-1.11,0.0
2022-03-31,17.13,$-0.59,0.0
2021-12-31,18.34,$-1.34,0.0
2021-09-30,16.33,$-1.33,0.0
2021-06-30,16.46,$-1.57,0.0
2021-03-31,15.98,$-2.20,0.0
2020-12-31,17.25,$-1.84,0.0
2020-09-30,16.86,$-1.93,0.0
2020-06-30,17.21,$-1.73,0.0
2020-03-31,18.14,$-2.02,0.0
2019-12-31,17.3,$-4.34,0.0
2019-09-30,15.35,$-5.47,0.0
2019-06-30,12.89,$-10.48,0.0
2019-03-31,12.64,$-9.88,0.0
2018-12-31,10.85,$-7.35,0.0
2018-09-30,13.2,$-6.19,0.0
2018-06-30,13.3,$-2.89,0.0
2018-03-31,13.55,$-7.48,0.0
2017-12-31,13.99,$-8.34,0.0
2017-09-30,13.38,$-8.29,0.0
2017-06-30,13.4,$-5.84,0.0
2017-03-31,12.51,$-3.70,0.0
2016-12-31,12.51,$-3.80,0.0
2016-09-30,11.77,$-8.07,0.0
2016-06-30,12.03,$-9.21,0.0
2016-03-31,11.16,$-5.88,0.0
2015-12-31,10.22,$-6.57,0.0
