Rafael Holdings Price to Free Cash Flow Ratio Historical Data,Rafael Holdings Price to Free Cash Flow Ratio Historical Data,Rafael Holdings Price to Free Cash Flow Ratio Historical Data,Rafael Holdings Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,1.96,,0.0
2025-01-31,2.06,$-0.36,0.0
2024-10-31,1.85,$-0.37,0.0
2024-07-31,1.49,$-0.33,0.0
2024-04-30,1.59,$-0.28,0.0
2024-01-31,1.81,$-0.31,0.0
2023-10-31,1.78,$-0.45,0.0
2023-07-31,2.0,$-0.47,0.0
2023-04-30,2.1,$-0.50,0.0
2023-01-31,2.06,$-0.97,0.0
2022-10-31,1.77,$-1.09,0.0
2022-07-31,2.02,$-1.32,0.0
2022-04-30,2.15,$-1.63,0.0
2022-01-31,4.14,$-1.29,0.0
2021-10-31,7.56,$-1.12,0.0
2021-07-31,50.61,$-0.72,0.0
2021-04-30,41.34,$-0.42,0.0
2021-01-31,23.48,$-0.31,0.0
2020-10-31,16.4,$-0.20,0.0
2020-07-31,13.97,$-0.33,0.0
2020-04-30,14.11,$-0.28,0.0
2020-01-31,20.24,$-0.34,0.0
2019-10-31,17.37,$-0.29,0.0
2019-07-31,20.7,$-0.27,0.0
2019-04-30,16.2,$-0.28,0.0
2019-01-31,15.42,$-0.27,0.0
