NI Holdings Price to Free Cash Flow Ratio Historical Data,NI Holdings Price to Free Cash Flow Ratio Historical Data,NI Holdings Price to Free Cash Flow Ratio Historical Data,NI Holdings Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,14.02,,7.82
2024-12-31,15.7,$1.79,8.76
2024-09-30,15.68,$2.74,5.73
2024-06-30,15.3,$3.11,4.92
2024-03-31,15.15,$3.36,4.51
2023-12-31,12.99,$2.38,5.46
2023-09-30,12.87,$0.86,14.9
2023-06-30,14.85,$-0.45,0.0
2023-03-31,13.0,$-1.12,0.0
2022-12-31,13.27,$-0.73,0.0
2022-09-30,13.36,$-0.28,0.0
2022-06-30,16.43,$0.96,17.2
2022-03-31,16.96,$1.00,16.91
2021-12-31,18.91,$1.31,14.38
2021-09-30,17.56,$1.32,13.33
2021-06-30,19.01,$2.32,8.19
2021-03-31,18.48,$2.64,6.99
2020-12-31,16.42,$2.30,7.14
2020-09-30,16.89,$2.61,6.48
2020-06-30,14.77,$1.60,9.21
2020-03-31,13.56,$1.07,12.65
2019-12-31,17.2,$1.09,15.71
2019-09-30,17.14,$0.99,17.31
2019-06-30,17.61,$0.69,25.58
2019-03-31,16.0,$0.85,18.81
2018-12-31,15.73,$0.87,18.15
2018-09-30,16.87,$0.91,18.54
2018-06-30,16.95,$0.96,17.63
2018-03-31,16.7,$0.69,24.28
2017-12-31,16.98,$0.76,22.37
