Flux Power Holdings Price to Free Cash Flow Ratio Historical Data,Flux Power Holdings Price to Free Cash Flow Ratio Historical Data,Flux Power Holdings Price to Free Cash Flow Ratio Historical Data,Flux Power Holdings Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,1.63,,4.0
2024-12-31,1.58,$0.41,3.89
2024-06-30,3.11,$-0.34,0.0
2024-03-31,4.43,$-0.21,0.0
2023-12-31,4.11,$-0.41,0.0
2023-09-30,3.44,$-0.43,0.0
2023-06-30,4.31,$-0.29,0.0
2023-03-31,4.86,$-0.72,0.0
2022-12-31,3.97,$-0.74,0.0
2022-09-30,2.56,$-1.32,0.0
2022-06-30,2.4,$-1.60,0.0
2022-03-31,2.67,$-1.72,0.0
2021-12-31,4.29,$-1.73,0.0
2021-09-30,5.08,$-1.37,0.0
2021-06-30,11.63,$-1.65,0.0
2021-03-31,12.95,$-1.72,0.0
2020-12-31,17.24,$-2.61,0.0
