LeddarTech Holdings Price to Free Cash Flow Ratio Historical Data,LeddarTech Holdings Price to Free Cash Flow Ratio Historical Data,LeddarTech Holdings Price to Free Cash Flow Ratio Historical Data,LeddarTech Holdings Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,0.61,,0.21
2024-12-31,1.5,$2.96,0.51
2024-09-30,0.3,$-1.33,0.0
2024-06-30,0.8,$-0.91,0.0
2024-03-31,2.8,$-0.83,0.0
2023-12-31,2.57,$51.17,0.05
2023-09-30,10.75,0,0.0
2023-06-30,10.45,0,0.0
2023-03-31,9.92,0,0.0
2022-12-31,9.95,$-55.59,0.0
2022-09-30,9.96,0,0.0
2022-06-30,9.86,0,0.0
2022-03-31,9.81,0,0.0
2021-12-31,9.74,0,0.0
