KOREs Price to Free Cash Flow Ratio Historical Data,KOREs Price to Free Cash Flow Ratio Historical Data,KOREs Price to Free Cash Flow Ratio Historical Data,KOREs Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,2.5,,0.0
2024-09-30,2.26,$-0.45,0.0
2024-06-30,0.42,$-0.35,0.0
2024-03-31,0.79,$-0.65,0.0
2023-12-31,0.98,$-0.65,0.0
2023-09-30,0.61,$-0.23,0.0
2023-06-30,1.22,$0.18,6.62
2023-03-31,1.22,$1.23,0.99
2022-12-31,1.26,$0.86,1.46
2022-09-30,1.91,$0.86,2.23
2022-06-30,3.07,$0.80,3.84
2022-03-31,6.0,$-0.50,0.0
2021-12-31,6.74,$-2.26,0.0
2021-09-30,7.81,$-1.96,0.0
