Lamb Weston Price to Free Cash Flow Ratio Historical Data,Lamb Weston Price to Free Cash Flow Ratio Historical Data,Lamb Weston Price to Free Cash Flow Ratio Historical Data,Lamb Weston Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,52.75,,0.0
2024-11-30,77.24,$-1.10,0.0
2024-08-31,61.63,$-1.69,0.0
2024-05-31,87.33,$-1.33,0.0
2024-02-29,100.67,$-1.09,0.0
2023-11-30,98.18,$-0.71,0.0
2023-08-31,95.33,$-0.11,0.0
2023-05-31,108.53,$0.18,613.14
2023-02-28,97.97,$0.02,6445.6
2022-11-30,84.35,$0.49,173.78
2022-08-31,76.98,$0.70,110.76
2022-05-31,65.21,$0.77,84.8
2022-02-28,63.86,$0.46,138.34
2021-11-30,49.72,$1.25,39.74
2021-08-31,62.13,$1.73,35.84
2021-05-31,78.38,$2.65,29.61
2021-02-28,75.56,$2.38,31.76
2020-11-30,68.36,$2.67,25.6
2020-08-31,59.16,$2.68,22.05
2020-05-31,56.33,$2.49,22.66
2020-02-29,81.16,$2.93,27.74
2019-11-30,78.24,$2.96,26.44
2019-08-31,65.41,$2.66,24.61
2019-05-31,54.9,$2.34,23.51
2019-02-28,64.02,$1.80,35.48
2018-11-30,70.65,$1.99,35.55
2018-08-31,62.12,$1.88,33.09
2018-05-31,58.42,$1.19,49.24
2018-02-28,49.42,$1.46,33.97
2017-11-30,49.51,$1.03,48.08
2017-08-31,41.27,$1.35,30.47
