Gilead Sciences Price to Free Cash Flow Ratio Historical Data,Gilead Sciences Price to Free Cash Flow Ratio Historical Data,Gilead Sciences Price to Free Cash Flow Ratio Historical Data,Gilead Sciences Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,105.87,,12.89
2024-12-31,92.37,$8.21,11.25
2024-09-30,83.14,$7.51,11.07
2024-06-30,67.41,$5.50,12.26
2024-03-31,71.13,$6.30,11.29
2023-12-31,77.86,$5.90,13.2
2023-09-30,71.37,$6.24,11.44
2023-06-30,72.69,$7.08,10.27
2023-03-31,77.51,$6.65,11.66
2022-12-31,79.46,$6.61,12.02
2022-09-30,56.63,$7.14,7.93
2022-06-30,56.11,$7.46,7.52
2022-03-31,53.29,$7.89,6.76
2021-12-31,64.28,$8.56,7.51
2021-09-30,61.22,$7.51,8.15
2021-06-30,59.75,$6.70,8.92
2021-03-31,55.51,$6.89,8.05
2020-12-31,49.46,$5.95,8.31
2020-09-30,53.05,$6.41,8.27
2020-06-30,63.93,$6.71,9.52
2020-03-31,61.55,$6.47,9.52
2019-12-31,52.97,$6.51,8.13
2019-09-30,51.19,$6.29,8.14
2019-06-30,54.05,$5.91,9.15
2019-03-31,51.53,$5.20,9.91
2018-12-31,49.1,$5.72,8.59
2018-09-30,60.1,$6.04,9.96
2018-06-30,54.72,$6.41,8.54
2018-03-31,57.77,$8.01,7.22
2017-12-31,54.51,$8.57,6.36
2017-09-30,61.22,$9.00,6.8
2017-06-30,53.14,$10.27,5.17
2017-03-31,50.59,$11.33,4.47
2016-12-31,52.93,$12.00,4.41
2016-09-30,58.12,$13.24,4.39
2016-06-30,60.91,$12.74,4.78
2016-03-31,66.7,$12.73,5.24
2015-12-31,73.13,$13.48,5.42
2015-09-30,70.48,$11.59,6.08
2015-06-30,83.92,$11.32,7.41
2015-03-31,70.08,$10.16,6.9
2014-12-31,67.32,$7.44,9.04
2014-09-30,76.02,$6.13,12.4
2014-06-30,59.21,$4.11,14.39
2014-03-31,50.6,$2.18,23.26
2013-12-31,53.63,$1.72,31.19
2013-09-30,44.9,$1.61,27.87
2013-06-30,36.61,$1.60,22.9
2013-03-31,34.95,$1.87,18.68
2012-12-31,26.23,$1.77,14.84
2012-09-30,23.68,$2.07,11.42
2012-06-30,18.31,$2.22,8.24
2012-03-31,17.45,$2.00,8.73
2011-12-31,14.62,$2.22,6.59
2011-09-30,13.85,$2.00,6.93
2011-06-30,14.79,$1.92,7.72
2011-03-31,15.16,$1.73,8.77
2010-12-31,12.94,$1.59,8.15
2010-09-30,12.72,$2.39,5.33
2010-06-30,12.24,$1.69,7.22
2010-03-31,16.24,$1.63,9.98
2009-12-31,15.45,$1.53,10.13
