Ambipar Emergency Response Price to Free Cash Flow Ratio Historical Data,Ambipar Emergency Response Price to Free Cash Flow Ratio Historical Data,Ambipar Emergency Response Price to Free Cash Flow Ratio Historical Data,Ambipar Emergency Response Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,4.8,,6.6
2024-03-31,5.3,$0.73,7.28
2022-12-31,9.87,$0.28,35.57
2022-09-30,9.92,$-0.19,0.0
2022-06-30,9.98,$-0.13,0.0
2022-03-31,9.92,$-0.11,0.0
2021-12-31,9.87,$-0.09,0.0
2021-09-30,9.84,$-0.06,0.0
