Zumiez Price to Free Cash Flow Ratio Historical Data,Zumiez Price to Free Cash Flow Ratio Historical Data,Zumiez Price to Free Cash Flow Ratio Historical Data,Zumiez Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,15.16,,50.35
2025-01-31,15.96,$0.30,53.01
2024-10-31,20.6,$-0.60,0.0
2024-07-31,25.42,$0.46,55.62
2024-04-30,17.2,$-0.42,0.0
2024-01-31,17.17,$-0.29,0.0
2023-10-31,16.43,$-0.55,0.0
2023-07-31,18.86,$-1.42,0.0
2023-04-30,17.49,$-0.86,0.0
2023-01-31,25.83,$-1.34,0.0
2022-10-31,22.43,$-0.53,0.0
2022-07-31,26.0,$1.24,20.98
2022-04-30,36.63,$2.47,14.81
2022-01-31,44.95,$4.85,9.27
2021-10-31,40.7,$4.71,8.64
2021-07-31,43.65,$4.65,9.39
2021-04-30,42.97,$6.83,6.29
2021-01-31,43.08,$5.09,8.46
2020-10-31,28.0,$5.75,4.87
2020-07-31,23.1,$4.63,4.99
2020-04-30,21.14,$2.36,8.96
2020-01-31,31.17,$3.42,9.12
2019-10-31,31.91,$2.31,13.8
2019-07-31,24.77,$2.57,9.64
2019-04-30,26.63,$2.32,11.48
2019-01-31,25.41,$1.76,14.44
2018-10-31,23.26,$1.93,12.02
2018-07-31,22.65,$2.27,9.99
2018-04-30,23.4,$1.47,15.97
2018-01-31,20.75,$1.67,12.45
2017-10-31,17.65,$1.44,12.27
2017-07-31,12.7,$1.00,12.76
2017-04-30,17.95,$1.10,16.36
2017-01-31,20.05,$1.13,17.8
2016-10-31,22.25,$1.00,22.18
2016-07-31,16.98,$0.97,17.46
2016-04-30,16.78,$0.69,24.16
2016-01-31,18.11,$0.52,34.59
2015-10-31,17.48,$0.66,26.44
2015-07-31,26.1,$0.76,34.34
2015-04-30,31.71,$1.27,24.91
2015-01-31,37.29,$1.85,20.16
2014-10-31,33.38,$1.39,23.95
2014-07-31,27.85,$1.60,17.44
2014-04-30,24.45,$1.42,17.17
2014-01-31,21.52,$1.02,21.02
2013-10-31,29.64,$0.81,36.68
2013-07-31,27.57,$0.89,31.11
2013-04-30,28.97,$0.83,35.09
2013-01-31,21.1,$0.80,26.23
2012-10-31,25.32,$0.96,26.29
2012-07-31,36.33,$1.09,33.31
2012-04-30,36.66,$1.25,29.43
2012-01-31,28.56,$1.37,20.88
2011-10-31,22.75,$1.14,19.95
2011-07-31,26.57,$1.21,21.91
2011-04-30,28.11,$1.09,25.74
2011-01-31,23.22,$0.63,36.99
2010-10-31,26.22,$0.59,44.4
2010-07-31,18.3,$0.32,56.96
2010-04-30,18.56,$0.45,41.51
2010-01-31,12.73,$0.95,13.43
2009-10-31,13.47,$0.40,33.65
