Legacy Housing Price to Free Cash Flow Ratio Historical Data,Legacy Housing Price to Free Cash Flow Ratio Historical Data,Legacy Housing Price to Free Cash Flow Ratio Historical Data,Legacy Housing Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,26.11,,22.89
2024-12-31,24.68,$1.14,21.63
2024-09-30,27.35,$0.45,61.39
2024-06-30,22.94,$0.04,510.91
2024-03-31,21.52,$-0.31,0.0
2023-12-31,25.22,$-0.80,0.0
2023-09-30,19.41,$-0.40,0.0
2023-06-30,23.19,$-0.25,0.0
2023-03-31,22.76,$-0.17,0.0
2022-12-31,18.96,$-0.15,0.0
2022-09-30,17.15,$0.25,67.44
2022-06-30,13.05,$2.31,5.64
2022-03-31,21.46,$2.29,9.36
2021-12-31,26.47,$2.24,11.82
2021-09-30,17.97,$2.10,8.57
2021-06-30,16.91,$-0.24,0.0
2021-03-31,17.73,$-0.12,0.0
2020-12-31,15.11,$-0.19,0.0
2020-09-30,13.68,$-0.69,0.0
2020-06-30,14.22,$-0.67,0.0
2020-03-31,9.25,$-0.65,0.0
2019-12-31,16.64,$-0.34,0.0
2019-09-30,16.2,$-0.22,0.0
