LCNB Price to Free Cash Flow Ratio Historical Data,LCNB Price to Free Cash Flow Ratio Historical Data,LCNB Price to Free Cash Flow Ratio Historical Data,LCNB Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,14.93,,2.28
2024-12-31,15.13,$6.56,2.31
2024-09-30,14.88,$4.46,3.34
2024-06-30,13.54,$4.14,3.27
2024-03-31,15.28,$0.69,22.25
2023-12-31,14.88,$1.88,7.94
2023-09-30,13.26,$1.86,7.13
2023-06-30,13.53,$2.12,6.39
2023-03-31,14.75,$2.44,6.04
2022-12-31,16.06,$2.66,6.05
2022-09-30,13.99,$1.97,7.11
2022-06-30,13.03,$1.86,7.0
2022-03-31,15.11,$1.35,11.15
2021-12-31,16.62,$1.26,13.17
2021-09-30,14.72,$1.38,10.65
2021-06-30,13.64,$1.12,12.16
2021-03-31,14.43,$1.12,12.91
2020-12-31,11.98,$0.89,13.43
2020-09-30,10.99,$1.04,10.55
2020-06-30,12.69,$1.14,11.15
2020-03-31,9.9,$1.30,7.63
2019-12-31,14.99,$1.38,10.86
2019-09-30,13.65,$1.78,7.67
2019-06-30,14.47,$1.64,8.8
2019-03-31,12.93,$1.68,7.72
2018-12-31,11.31,$1.66,6.82
2018-09-30,13.78,$1.33,10.36
2018-06-30,14.43,$1.48,9.78
2018-03-31,13.8,$1.44,9.59
2017-12-31,14.73,$1.27,11.56
2017-09-30,14.98,$0.83,18.13
2017-06-30,14.17,$0.67,21.29
2017-03-31,16.76,$0.45,37.53
2016-12-31,16.23,$0.65,25.13
2016-09-30,12.62,$1.07,11.77
2016-06-30,10.84,$1.15,9.43
2016-03-31,10.92,$1.43,7.64
2015-12-31,11.01,$1.32,8.32
2015-09-30,10.8,$1.55,6.95
2015-06-30,10.7,$1.76,6.07
2015-03-31,10.0,$1.64,6.1
2014-12-31,9.75,$1.68,5.81
2014-09-30,9.61,$1.37,7.01
2014-06-30,10.23,$1.21,8.44
2014-03-31,10.84,$1.37,7.93
2013-12-31,11.1,$1.35,8.25
2013-09-30,11.8,$1.39,8.48
2013-06-30,13.65,$1.39,9.85
2013-03-31,10.09,$1.31,7.69
2012-12-31,8.21,$1.55,5.3
2012-09-30,7.94,$1.59,4.99
2012-06-30,7.81,$1.51,5.16
2012-03-31,7.66,$1.46,5.24
2011-12-31,7.4,$1.20,6.19
2011-09-30,7.54,$1.41,5.36
2011-06-30,6.64,$1.53,4.35
2011-03-31,6.43,$1.53,4.21
2010-12-31,6.48,$1.84,3.53
2010-09-30,6.26,$1.27,4.92
2010-06-30,6.21,$1.26,4.91
2010-03-31,6.26,$1.24,5.05
2009-12-31,5.4,$1.11,4.88
