BlackRock Price to Free Cash Flow Ratio Historical Data,BlackRock Price to Free Cash Flow Ratio Historical Data,BlackRock Price to Free Cash Flow Ratio Historical Data,BlackRock Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,954.17,,30.77
2024-12-31,1025.11,$31.01,33.06
2024-09-30,944.9,$26.94,35.07
2024-06-30,778.97,$28.29,27.53
2024-03-31,824.86,$25.35,32.54
2023-12-31,798.29,$25.36,31.48
2023-09-30,631.48,$24.96,25.3
2023-06-30,670.24,$25.71,26.07
2023-03-31,644.14,$29.59,21.77
2022-12-31,677.26,$29.02,23.34
2022-09-30,522.33,$28.59,18.27
2022-06-30,573.87,$29.15,19.69
2022-03-31,714.85,$30.13,23.73
2021-12-31,850.51,$29.81,28.53
2021-09-30,775.5,$30.59,25.35
2021-06-30,805.53,$25.56,31.51
2021-03-31,690.88,$25.23,27.38
2020-12-31,657.2,$22.93,28.67
2020-09-30,510.71,$17.88,28.56
2020-06-30,490.0,$17.24,28.42
2020-03-31,393.62,$12.15,32.4
2019-12-31,446.47,$16.70,26.73
2019-09-30,393.14,$11.97,32.85
2019-06-30,410.76,$13.97,29.41
2019-03-31,371.26,$17.02,21.81
2018-12-31,341.25,$17.73,19.25
2018-09-30,406.2,$23.33,17.41
2018-06-30,427.24,$23.78,17.97
2018-03-31,461.37,$23.12,19.95
2017-12-31,435.23,$23.08,18.86
2017-09-30,376.91,$22.57,16.7
2017-06-30,354.0,$20.77,17.04
2017-03-31,319.46,$15.38,20.78
2016-12-31,314.98,$12.93,24.36
2016-09-30,298.26,$11.72,25.45
2016-06-30,280.14,$13.33,21.01
2016-03-31,276.79,$16.49,16.79
2015-12-31,274.8,$16.46,16.69
2015-09-30,238.62,$17.26,13.83
2015-06-30,275.55,$16.89,16.32
2015-03-31,289.59,$15.36,18.85
2014-12-31,281.37,$17.66,15.94
2014-09-30,256.96,$16.87,15.23
2014-06-30,248.68,$15.94,15.6
2014-03-31,243.18,$18.14,13.41
2013-12-31,243.19,$20.41,11.91
2013-09-30,206.81,$15.62,13.24
2013-06-30,195.03,$14.85,13.13
2013-03-31,192.63,$13.51,14.26
2012-12-31,153.95,$11.74,13.11
2012-09-30,131.78,$14.30,9.21
2012-06-30,124.45,$15.13,8.23
2012-03-31,148.82,$14.23,10.46
2011-12-31,128.47,$13.78,9.32
2011-09-30,105.81,$14.92,7.09
2011-06-30,135.99,$13.89,9.79
2011-03-31,141.51,$12.08,11.71
2010-12-31,133.28,$12.23,10.9
2010-09-30,118.35,$10.69,11.07
2010-06-30,98.99,$9.02,10.97
2010-03-31,149.41,$9.56,15.63
2009-12-31,158.58,$9.56,16.58
