Synlogic Price to Free Cash Flow Ratio Historical Data,Synlogic Price to Free Cash Flow Ratio Historical Data,Synlogic Price to Free Cash Flow Ratio Historical Data,Synlogic Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,1.3,,0.0
2024-12-31,1.4,$-2.49,0.0
2024-09-30,1.49,$-0.57,0.0
2024-06-30,1.5,$-3.21,0.0
2024-03-31,1.79,$-4.56,0.0
2023-12-31,3.85,$-7.97,0.0
2023-09-30,2.81,$-12.49,0.0
2023-06-30,6.45,$-12.99,0.0
2023-03-31,9.48,$-13.42,0.0
2022-12-31,11.4,$-12.05,0.0
2022-09-30,14.25,$-12.99,0.0
2022-06-30,17.25,$-13.17,0.0
2022-03-31,36.0,$-12.60,0.0
2021-12-31,36.3,$-14.33,0.0
2021-09-30,45.75,$-15.04,0.0
2021-06-30,58.35,$-14.70,0.0
2021-03-31,53.7,$-16.18,0.0
2020-12-31,32.4,$-16.71,0.0
2020-09-30,30.3,$-21.87,0.0
2020-06-30,30.45,$-17.38,0.0
2020-03-31,25.8,$-35.63,0.0
2019-12-31,38.7,$-37.98,0.0
2019-09-30,34.35,$-36.28,0.0
2019-06-30,136.5,$-43.99,0.0
2019-03-31,113.85,$-27.03,0.0
2018-12-31,105.15,$-30.21,0.0
2018-09-30,213.15,$-46.06,0.0
2018-06-30,147.45,$21.19,6.96
2018-03-31,140.7,$-21.81,0.0
2017-12-31,145.5,$-74.96,0.0
2017-09-30,285.23,$-116.46,0.0
2017-06-30,175.35,$-250.11,0.0
2017-03-31,229.95,$-229.92,0.0
2016-12-31,189.0,$-211.58,0.0
2016-09-30,206.85,$-594.32,0.0
