Mercantile Bank Price to Free Cash Flow Ratio Historical Data,Mercantile Bank Price to Free Cash Flow Ratio Historical Data,Mercantile Bank Price to Free Cash Flow Ratio Historical Data,Mercantile Bank Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,44.54,,7.76
2024-12-31,44.49,$5.74,7.75
2024-09-30,43.41,$1.58,27.55
2024-06-30,39.95,$4.61,8.67
2024-03-31,37.54,$5.17,7.25
2023-12-31,39.01,$3.74,10.43
2023-09-30,29.57,$6.51,4.54
2023-06-30,26.16,$6.29,4.16
2023-03-31,28.6,$6.60,4.33
2022-12-31,31.02,$7.37,4.21
2022-09-30,27.27,$7.83,3.48
2022-06-30,29.05,$5.66,5.13
2022-03-31,31.9,$5.61,5.68
2021-12-31,31.29,$3.69,8.48
2021-09-30,28.36,$2.16,13.16
2021-06-30,26.48,$3.97,6.67
2021-03-31,28.22,$2.38,11.85
2020-12-31,23.39,$1.78,13.18
2020-09-30,15.34,$1.79,8.55
2020-06-30,19.0,$0.35,54.51
2020-03-31,17.59,$1.13,15.52
2019-12-31,29.99,$1.91,15.73
2019-09-30,26.77,$2.22,12.08
2019-06-30,26.36,$2.76,9.55
2019-03-31,26.26,$2.62,10.02
2018-12-31,22.5,$3.34,6.74
2018-09-30,25.67,$2.56,10.01
2018-06-30,28.23,$2.30,12.3
2018-03-31,25.25,$2.30,10.97
2017-12-31,26.69,$2.02,13.23
2017-09-30,26.2,$1.95,13.44
2017-06-30,23.48,$1.87,12.59
2017-03-31,25.51,$1.79,14.23
2016-12-31,27.81,$2.00,13.92
2016-09-30,19.42,$1.90,10.24
2016-06-30,17.15,$2.19,7.84
2016-03-31,16.01,$2.28,7.04
2015-12-31,17.41,$2.10,8.3
2015-09-30,14.65,$1.97,7.44
2015-06-30,14.98,$1.07,13.96
2015-03-31,13.59,$1.32,10.29
2014-12-31,14.5,$0.91,16.01
2014-09-30,13.06,$1.19,10.95
2014-06-30,15.59,$2.07,7.52
2014-03-31,12.76,$2.91,4.39
2013-12-31,13.27,$3.25,4.08
2013-09-30,13.32,$3.56,3.74
2013-06-30,10.92,$2.87,3.81
2013-03-31,9.97,$1.91,5.22
2012-12-31,9.91,$1.86,5.33
2012-09-30,10.23,$1.52,6.74
2012-06-30,11.01,$1.66,6.65
2012-03-31,8.49,$1.93,4.4
2011-12-31,5.82,$2.47,2.35
2011-09-30,4.65,$3.30,1.41
2011-06-30,4.95,$3.38,1.47
2011-03-31,5.81,$3.46,1.68
2010-12-31,4.89,$3.47,1.41
2010-09-30,2.69,$0.35,7.71
2010-06-30,3.2,$0.44,7.3
2010-03-31,2.37,$-0.53,0.0
2009-12-31,1.83,$-1.04,0.0
