InMed Pharmaceuticals Price to Free Cash Flow Ratio Historical Data,InMed Pharmaceuticals Price to Free Cash Flow Ratio Historical Data,InMed Pharmaceuticals Price to Free Cash Flow Ratio Historical Data,InMed Pharmaceuticals Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,2.81,,0.0
2024-12-31,4.74,$-14.37,0.0
2024-09-30,0.24,$184.03,0.0
2024-06-30,0.27,$-18.36,0.0
2024-03-31,0.36,$-32.64,0.0
2023-12-31,0.42,$-27.74,0.0
2023-09-30,0.7,$-270.03,0.0
2023-06-30,0.93,$-60.81,0.0
2023-03-31,1.08,$-188.56,0.0
2022-12-31,2.02,$-375.44,0.0
2022-09-30,6.59,$-498.91,0.0
2022-06-30,11.76,$-556.97,0.0
2022-03-31,23.57,$-622.01,0.0
2021-12-31,32.75,$-692.86,0.0
2021-09-30,43.75,$-838.76,0.0
