Zevra Therapeutics Price to Free Cash Flow Ratio Historical Data,Zevra Therapeutics Price to Free Cash Flow Ratio Historical Data,Zevra Therapeutics Price to Free Cash Flow Ratio Historical Data,Zevra Therapeutics Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,8.01,,0.0
2024-12-31,8.34,$-1.51,0.0
2024-09-30,6.94,$-1.56,0.0
2024-06-30,4.9,$-1.42,0.0
2024-03-31,5.8,$-1.22,0.0
2023-12-31,6.55,$-0.95,0.0
2023-09-30,4.82,$-0.64,0.0
2023-06-30,5.1,$-0.70,0.0
2023-03-31,5.5,$-0.56,0.0
2022-12-31,4.59,$-0.55,0.0
2022-09-30,6.24,$-0.39,0.0
2022-06-30,4.46,$-0.35,0.0
2022-03-31,5.03,$0.38,13.27
2021-12-31,8.71,$0.35,25.08
2021-09-30,9.33,$0.02,402.16
2021-06-30,12.82,$-0.06,0.0
2021-03-31,9.2,$0.05,200.0
2020-12-31,0.21,$-0.50,0.0
2020-09-30,3.3,$-2.59,0.0
2020-06-30,3.3,$-2.40,0.0
2020-03-31,3.6,$-6.86,0.0
2019-12-31,6.07,$-12.82,0.0
2019-09-30,11.02,$-19.70,0.0
2019-06-30,28.0,$-36.29,0.0
2019-03-31,26.72,$-39.78,0.0
2018-12-31,28.48,$-48.39,0.0
2018-09-30,76.8,$-46.71,0.0
2018-06-30,104.0,$-41.20,0.0
2018-03-31,126.4,$-41.08,0.0
2017-12-31,64.8,$-36.34,0.0
2017-09-30,59.2,$-39.19,0.0
2017-06-30,64.0,$-38.15,0.0
2017-03-31,78.4,$-39.51,0.0
2016-12-31,47.2,$-33.34,0.0
2016-09-30,71.84,$-51.51,0.0
2016-06-30,63.68,$-44.88,0.0
2016-03-31,232.0,$-48.64,0.0
