MicroAlgo Price to Free Cash Flow Ratio Historical Data,MicroAlgo Price to Free Cash Flow Ratio Historical Data,MicroAlgo Price to Free Cash Flow Ratio Historical Data,MicroAlgo Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,3.12,,0.06
2023-12-31,0.91,$49.17,0.02
2023-03-31,2.07,$-4.02,0.0
2022-12-31,1.25,$9.00,0.14
2022-09-30,10.35,$112.91,0.09
2022-06-30,10.22,$88.39,0.12
2022-03-31,10.14,$77.12,0.13
