Cheesecake Factory Price to Free Cash Flow Ratio Historical Data,Cheesecake Factory Price to Free Cash Flow Ratio Historical Data,Cheesecake Factory Price to Free Cash Flow Ratio Historical Data,Cheesecake Factory Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,48.53,,22.01
2024-12-31,47.44,$2.20,21.52
2024-09-30,40.32,$1.43,28.23
2024-06-30,38.78,$1.15,33.77
2024-03-31,35.42,$1.43,24.81
2023-12-31,34.05,$1.36,24.99
2023-09-30,29.23,$1.59,18.33
2023-06-30,33.09,$0.97,34.3
2023-03-31,33.27,$1.44,23.13
2022-12-31,29.88,$0.98,30.46
2022-09-30,27.39,$2.06,13.29
2022-06-30,24.49,$1.69,14.49
2022-03-31,36.6,$2.77,13.21
2021-12-31,36.01,$3.01,11.96
2021-09-30,43.23,$1.91,22.68
2021-06-30,49.84,$2.53,19.69
2021-03-31,53.82,$0.36,149.91
2020-12-31,34.09,$-1.08,0.0
2020-09-30,25.52,$0.06,394.98
2020-06-30,21.08,$0.56,37.89
2020-03-31,15.71,$1.69,9.28
2019-12-31,35.34,$3.26,10.86
2019-09-30,37.59,$3.42,10.99
2019-06-30,39.07,$3.38,11.56
2019-03-31,43.41,$3.57,12.14
2018-12-31,38.34,$4.08,9.41
2018-09-30,46.88,$2.98,15.73
2018-06-30,47.9,$2.93,16.35
2018-03-31,41.72,$2.81,14.82
2017-12-31,41.43,$2.45,16.9
2017-09-30,35.99,$2.62,13.71
2017-06-30,42.7,$3.11,13.73
2017-03-31,53.57,$3.45,15.52
2016-12-31,50.43,$4.06,12.41
2016-09-30,41.97,$3.96,10.61
2016-06-30,40.17,$3.01,13.33
2016-03-31,44.13,$2.24,19.66
2015-12-31,38.17,$1.85,20.6
2015-09-30,44.49,$2.04,21.83
2015-06-30,44.81,$2.41,18.61
2015-03-31,40.4,$2.35,17.17
2014-12-31,41.06,$2.44,16.86
2014-09-30,37.0,$1.72,21.49
2014-06-30,37.61,$2.14,17.62
2014-03-31,38.47,$2.14,17.99
2013-12-31,38.87,$1.81,21.46
2013-09-30,35.29,$2.40,14.71
2013-06-30,33.53,$2.18,15.39
2013-03-31,30.81,$2.09,14.77
2012-12-31,26.01,$1.97,13.18
2012-09-30,28.33,$1.90,14.91
2012-06-30,25.23,$1.68,15.0
2012-03-31,23.2,$1.80,12.88
2011-12-31,23.17,$2.05,11.3
2011-09-30,19.46,$1.97,9.9
2011-06-30,24.77,$2.21,11.23
2011-03-31,23.76,$2.12,11.21
2010-12-31,24.21,$2.07,11.69
2010-09-30,20.9,$2.02,10.34
2010-06-30,17.57,$2.20,7.99
2010-03-31,21.36,$2.84,7.53
2009-12-31,17.05,$2.69,6.34
