BLACKROCK TCP CAPITAL CORP Price to Free Cash Flow Ratio Historical Data,BLACKROCK TCP CAPITAL CORP Price to Free Cash Flow Ratio Historical Data,BLACKROCK TCP CAPITAL CORP Price to Free Cash Flow Ratio Historical Data,BLACKROCK TCP CAPITAL CORP Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,7.72,,2.1
2024-12-31,8.71,$3.68,2.37
2024-09-30,8.29,$3.29,2.52
2024-06-30,10.39,$2.90,3.58
2024-03-31,9.73,$2.84,3.43
2023-12-31,10.42,$1.60,6.51
2023-09-30,10.1,$1.52,6.66
2023-06-30,9.05,$3.00,3.02
2023-03-31,8.3,$2.37,3.5
2022-12-31,10.1,$3.53,2.86
2022-09-30,8.29,$2.34,3.54
2022-06-30,9.29,$1.03,9.04
2022-03-31,10.35,$1.12,9.27
2021-12-31,9.56,$-1.43,0.0
2021-09-30,9.4,$0.60,15.6
2021-06-30,9.37,$0.15,63.55
2021-03-31,9.18,$1.15,8.0
2020-12-31,7.31,$2.11,3.46
2020-09-30,6.22,$1.74,3.57
2020-06-30,5.62,$1.27,4.42
2020-03-31,3.71,$-1.39,0.0
2019-12-31,7.95,$0.08,99.53
2019-09-30,7.49,$-2.38,0.0
2019-06-30,7.66,$-0.34,0.0
2019-03-31,7.44,$1.14,6.55
2018-12-31,6.67,$-0.79,0.0
2018-09-30,7.1,$0.10,68.25
2018-06-30,7.03,$-2.40,0.0
2018-03-31,6.75,$-3.55,0.0
2017-12-31,7.07,$-2.25,0.0
2017-09-30,7.46,$-1.95,0.0
2017-06-30,7.47,$-2.11,0.0
2017-03-31,7.54,$-0.47,0.0
2016-12-31,7.16,$-0.90,0.0
2016-09-30,6.8,$1.18,5.77
2016-06-30,6.2,$0.98,6.35
2016-03-31,5.9,$0.90,6.57
2015-12-31,5.38,$0.84,6.41
2015-09-30,5.1,$-3.45,0.0
2015-06-30,5.62,$-6.38,0.0
2015-03-31,5.75,$-8.91,0.0
2014-12-31,5.89,$-9.34,0.0
2014-09-30,5.51,$-9.72,0.0
2014-06-30,6.11,$-10.99,0.0
2014-03-31,5.42,$-9.03,0.0
2013-12-31,5.38,$-7.54,0.0
2013-09-30,5.08,$-5.28,0.0
2013-06-30,5.13,$-1.36,0.0
2013-03-31,4.77,$-3.83,0.0
