Cabot Price to Free Cash Flow Ratio Historical Data,Cabot Price to Free Cash Flow Ratio Historical Data,Cabot Price to Free Cash Flow Ratio Historical Data,Cabot Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,82.55,,10.27
2024-12-31,91.31,$8.04,11.36
2024-09-30,111.33,$8.10,13.75
2024-06-30,91.16,$7.15,12.75
2024-03-31,91.47,$7.26,12.6
2023-12-31,82.44,$6.83,12.07
2023-09-30,68.04,$6.34,10.74
2023-06-30,65.32,$5.54,11.79
2023-03-31,74.41,$2.67,27.88
2022-12-31,64.59,$0.18,359.45
2022-09-30,61.43,$-1.63,0.0
2022-06-30,61.05,$-1.55,0.0
2022-03-31,65.14,$-1.13,0.0
2021-12-31,53.24,$-0.16,0.0
2021-09-30,47.18,$1.09,43.22
2021-06-30,53.24,$1.81,29.4
2021-03-31,48.77,$3.25,15.0
2020-12-31,41.45,$2.34,17.74
2020-09-30,33.01,$3.13,10.56
2020-06-30,33.63,$4.23,7.95
2020-03-31,23.49,$3.32,7.08
2019-12-31,42.33,$4.56,9.28
2019-09-30,40.07,$2.36,16.95
2019-06-30,41.81,$2.12,19.77
2019-03-31,36.18,$1.22,29.72
2018-12-31,37.05,$0.32,117.22
2018-09-30,54.12,$1.75,30.92
2018-06-30,53.03,$1.35,39.15
2018-03-31,47.57,$2.76,17.26
2017-12-31,52.32,$1.74,30.09
2017-09-30,47.16,$3.21,14.71
2017-06-30,44.88,$2.71,16.57
2017-03-31,50.03,$2.49,20.07
2016-12-31,41.99,$5.00,8.39
2016-09-30,43.29,$4.71,9.2
2016-06-30,37.49,$6.55,5.72
2016-03-31,39.42,$5.96,6.61
2015-12-31,33.18,$6.47,5.13
2015-09-30,25.48,$5.65,4.51
2015-06-30,29.91,$3.90,7.66
2015-03-31,35.91,$4.33,8.29
2014-12-31,34.83,$3.37,10.34
2014-09-30,40.13,$2.21,18.14
2014-06-30,45.65,$4.30,10.62
2014-03-31,46.31,$4.30,10.78
2013-12-31,40.16,$3.24,12.39
2013-09-30,33.23,$2.40,13.83
2013-06-30,28.97,$1.17,24.71
2013-03-31,26.35,$0.58,45.15
2012-12-31,30.49,$0.99,30.67
2012-09-30,27.87,$2.12,13.16
2012-06-30,30.84,$-0.14,0.0
2012-03-31,32.17,$-0.60,0.0
2011-12-31,24.12,$-1.22,0.0
2011-09-30,18.49,$-0.44,0.0
2011-06-30,29.58,$1.36,21.76
2011-03-31,34.19,$2.32,14.72
2010-12-31,27.69,$3.08,8.99
2010-09-30,23.83,$2.29,10.42
2010-06-30,17.52,$1.60,10.95
2010-03-31,21.95,$0.73,29.94
2009-12-31,18.82,$4.04,4.66
