Natural Gas Services Price to Free Cash Flow Ratio Historical Data,Natural Gas Services Price to Free Cash Flow Ratio Historical Data,Natural Gas Services Price to Free Cash Flow Ratio Historical Data,Natural Gas Services Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,21.54,,0.0
2024-12-31,26.8,$-0.39,0.0
2024-09-30,19.11,$-2.65,0.0
2024-06-30,20.12,$-4.98,0.0
2024-03-31,19.43,$-8.97,0.0
2023-12-31,16.08,$-10.94,0.0
2023-09-30,14.56,$-10.06,0.0
2023-06-30,9.9,$-8.24,0.0
2023-03-31,10.31,$-5.15,0.0
2022-12-31,11.46,$-3.01,0.0
2022-09-30,10.04,$-1.07,0.0
2022-06-30,11.0,$-0.25,0.0
2022-03-31,11.91,$-0.20,0.0
2021-12-31,10.47,$0.23,45.54
2021-09-30,10.38,$0.18,56.47
2021-06-30,10.28,$1.04,9.85
2021-03-31,9.44,$1.40,6.75
2020-12-31,9.48,$1.34,7.07
2020-09-30,8.45,$0.64,13.18
2020-06-30,6.27,$-1.07,0.0
2020-03-31,4.46,$-1.99,0.0
2019-12-31,12.26,$-3.09,0.0
2019-09-30,12.81,$-3.32,0.0
2019-06-30,16.5,$-2.51,0.0
2019-03-31,17.31,$-1.96,0.0
2018-12-31,16.44,$-1.26,0.0
2018-09-30,21.1,$-0.85,0.0
2018-06-30,23.6,$-0.88,0.0
2018-03-31,23.85,$-0.76,0.0
2017-12-31,26.2,$0.31,84.82
2017-09-30,28.4,$0.91,31.06
2017-06-30,24.85,$1.61,15.44
2017-03-31,26.05,$2.37,11.0
2016-12-31,32.15,$2.21,14.56
2016-09-30,24.59,$2.45,10.02
2016-06-30,22.9,$2.41,9.49
2016-03-31,21.63,$2.72,7.96
2015-12-31,22.3,$2.29,9.74
2015-09-30,19.3,$1.94,9.94
2015-06-30,22.82,$0.55,41.54
2015-03-31,19.22,$-0.95,0.0
2014-12-31,23.04,$-1.46,0.0
2014-09-30,24.07,$-1.81,0.0
2014-06-30,33.06,$-1.20,0.0
2014-03-31,30.14,$-0.89,0.0
2013-12-31,27.57,$-0.33,0.0
2013-09-30,26.82,$-0.29,0.0
2013-06-30,23.49,$-0.11,0.0
2013-03-31,19.26,$0.14,135.73
2012-12-31,16.42,$0.95,17.35
2012-09-30,14.95,$1.25,11.99
2012-06-30,14.82,$1.19,12.48
2012-03-31,13.2,$0.93,14.26
2011-12-31,14.46,$-0.15,0.0
2011-09-30,12.83,$-0.42,0.0
2011-06-30,16.16,$-0.37,0.0
2011-03-31,17.76,$0.07,258.89
2010-12-31,18.91,$0.57,33.29
2010-09-30,14.77,$1.27,11.64
2010-06-30,15.13,$1.80,8.39
2010-03-31,15.87,$2.36,6.71
2009-12-31,18.85,$1.88,10.03
