GD Culture Group Price to Free Cash Flow Ratio Historical Data,GD Culture Group Price to Free Cash Flow Ratio Historical Data,GD Culture Group Price to Free Cash Flow Ratio Historical Data,GD Culture Group Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,2.35,,0.0
2024-09-30,3.67,$-2.50,0.0
2024-06-30,1.15,$-3.96,0.0
2024-03-31,1.03,$-4.38,0.0
2023-12-31,2.57,$-4.11,0.0
2023-09-30,2.99,$-2.02,0.0
2023-06-30,4.27,$-0.49,0.0
2023-03-31,2.58,$0.93,2.76
2022-12-31,2.09,$-0.58,0.0
2022-09-30,4.78,$5.80,0.82
2022-06-30,18.01,$-2.08,0.0
2022-03-31,27.12,$-6.27,0.0
2021-12-31,32.1,$-4.39,0.0
2021-09-30,38.7,$-11.46,0.0
2021-06-30,63.3,$-4.21,0.0
2021-03-31,107.4,$-0.81,0.0
2020-12-31,58.2,$-0.08,0.0
2020-09-30,26.88,$3.73,7.2
2020-06-30,56.4,$5.23,10.78
2020-03-31,34.5,$0.68,50.87
2019-12-31,36.0,$1.02,35.43
2019-09-30,26.04,$-2.43,0.0
2019-06-30,44.55,$-4.69,0.0
2019-03-31,51.3,$-2.02,0.0
2018-12-31,45.9,$-2.63,0.0
2018-09-30,69.01,$-3.31,0.0
2018-06-30,119.87,$-1.46,0.0
2018-03-31,135.0,$-0.22,0.0
2017-12-31,149.4,$-0.72,0.0
2017-09-30,149.25,$0.02,8528.57
2017-06-30,149.7,$-1.44,0.0
2017-03-31,149.4,$-1.19,0.0
2016-12-31,147.75,$-2.27,0.0
2016-09-30,148.35,$-2.10,0.0
