Drilling Tools Price to Free Cash Flow Ratio Historical Data,Drilling Tools Price to Free Cash Flow Ratio Historical Data,Drilling Tools Price to Free Cash Flow Ratio Historical Data,Drilling Tools Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,2.84,,30.28
2024-09-30,3.73,$0.09,39.77
2024-06-30,5.62,$-0.19,0.0
2024-03-31,3.0,$-0.26,0.0
2023-12-31,3.2,$-0.02,0.0
2023-09-30,3.9,$0.16,24.87
2023-06-30,4.35,$0.51,8.53
2023-03-31,10.45,$0.87,12.06
2022-12-31,10.24,$0.58,17.58
