AIX Price to Free Cash Flow Ratio Historical Data,AIX Price to Free Cash Flow Ratio Historical Data,AIX Price to Free Cash Flow Ratio Historical Data,AIX Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,0.32,,1.33
2023-12-31,6.65,$0.24,27.67
2023-09-30,7.21,$0.34,21.47
2023-06-30,8.31,$0.36,23.03
2023-03-31,8.68,$0.38,23.01
2022-12-31,7.4,$0.17,42.97
2022-09-30,5.02,$0.07,72.75
2022-06-30,5.17,$0.06,82.59
2022-03-31,5.52,$-0.20,0.0
2021-12-31,5.52,$0.28,19.61
2021-09-30,9.02,$0.45,20.24
2021-06-30,11.18,$0.76,14.68
2021-03-31,10.21,$0.98,10.41
2020-12-31,8.67,$1.11,7.84
2020-09-30,11.85,$1.11,10.72
2020-06-30,13.98,$1.10,12.74
2020-03-31,13.69,$0.66,20.83
2019-12-31,17.68,$0.42,42.39
2019-09-30,17.92,$0.56,31.89
2019-06-30,22.27,$0.34,65.74
2019-03-31,17.31,$0.60,28.78
2018-09-30,17.45,$0.73,23.97
2017-12-31,13.6,$0.32,42.49
2017-09-30,7.84,$0.45,17.54
2017-06-30,5.34,$0.58,9.16
2017-03-31,5.3,$0.14,37.43
2016-12-31,5.09,$0.18,28.1
2016-09-30,4.73,$0.34,13.77
2016-06-30,4.37,$0.42,10.43
2016-03-31,4.93,$0.76,6.46
2015-12-31,5.7,$0.70,8.16
2015-09-30,4.7,$0.47,9.94
2015-06-30,5.43,$0.51,10.64
2015-03-31,5.3,$0.63,8.39
2014-12-31,4.07,$0.79,5.13
2014-09-30,3.38,$0.89,3.79
2014-06-30,4.22,$0.86,4.91
2014-03-31,4.61,$0.67,6.85
2013-12-31,3.71,$0.48,7.8
2013-09-30,3.23,$0.24,13.42
2013-06-30,3.71,$0.29,12.85
2013-03-31,3.71,$0.42,8.78
2012-12-31,4.03,$0.47,8.59
2012-09-30,3.56,$0.95,3.76
2012-06-30,4.2,$0.99,4.25
2012-03-31,3.84,$1.15,3.34
2011-12-31,4.25,$1.49,2.85
2011-09-30,4.3,$2.00,2.15
2011-06-30,9.05,$1.77,5.13
2011-03-31,7.96,$1.39,5.72
2010-12-31,10.63,$1.05,10.16
2010-09-30,14.28,$0.71,20.01
2010-06-30,15.94,$0.50,31.59
2010-03-31,16.2,$0.71,22.7
2009-12-31,12.22,$0.71,17.13
