Amplify Energy Price to Free Cash Flow Ratio Historical Data,Amplify Energy Price to Free Cash Flow Ratio Historical Data,Amplify Energy Price to Free Cash Flow Ratio Historical Data,Amplify Energy Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,3.92,,0.0
2024-12-31,6.0,$-0.56,0.0
2024-09-30,6.53,$0.12,52.75
2024-06-30,6.78,$0.40,16.82
2024-03-31,6.61,$0.37,18.05
2023-12-31,5.93,$2.83,2.1
2023-09-30,7.35,$2.47,2.98
2023-06-30,6.77,$2.33,2.91
2023-03-31,6.87,$2.77,2.48
2022-12-31,8.79,$0.77,11.36
2022-09-30,6.57,$0.64,10.23
2022-06-30,6.54,$0.69,9.53
2022-03-31,5.5,$0.69,7.98
2021-12-31,3.11,$0.87,3.56
2021-09-30,5.32,$1.02,5.23
2021-06-30,4.05,$1.24,3.28
2021-03-31,2.78,$1.31,2.11
2020-12-31,1.31,$1.02,1.28
2020-09-30,0.85,$1.01,0.84
2020-06-30,1.23,$-0.47,0.0
2020-03-31,0.57,$-0.91,0.0
2019-12-31,5.91,$-0.90,0.0
2019-09-30,5.31,$-0.48,0.0
2019-06-30,4.89,$2.61,1.87
2019-03-31,8.12,$4.52,1.8
2018-12-31,6.24,$4.13,1.51
2018-09-30,7.4,$9.94,0.74
2018-06-30,11.31,$7.54,1.5
2018-03-31,11.08,$5.76,1.92
2017-12-31,13.78,$6.44,2.14
2017-09-30,12.91,$-2.81,0.0
