Enlight Renewable Energy Price to Free Cash Flow Ratio Historical Data,Enlight Renewable Energy Price to Free Cash Flow Ratio Historical Data,Enlight Renewable Energy Price to Free Cash Flow Ratio Historical Data,Enlight Renewable Energy Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,16.29,,0.0
2024-09-30,16.9,$-5.20,0.0
2024-06-30,16.16,$-5.54,0.0
2024-03-31,16.92,$-5.24,0.0
2023-12-31,19.14,$-4.69,0.0
