ATI Physical Therapy Price to Free Cash Flow Ratio Historical Data,ATI Physical Therapy Price to Free Cash Flow Ratio Historical Data,ATI Physical Therapy Price to Free Cash Flow Ratio Historical Data,ATI Physical Therapy Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-12-27,2.47,,0.0
2024-12-31,2.47,$-7.84,0.0
2024-09-30,6.1,$-8.72,0.0
2024-06-30,4.47,$-11.14,0.0
2024-03-31,5.58,$-12.33,0.0
2023-12-31,6.14,$-7.16,0.0
2023-09-30,8.86,$-10.95,0.0
2023-06-30,9.15,$-14.36,0.0
2023-03-31,12.71,$-18.96,0.0
2022-12-31,15.25,$-23.01,0.0
2022-09-30,50.0,$-27.80,0.0
2022-06-30,70.5,$-20.93,0.0
2022-03-31,94.0,$-18.65,0.0
2021-12-31,169.5,$-24.78,0.0
2021-09-30,190.0,$-16.81,0.0
