EQT Price to Free Cash Flow Ratio Historical Data,EQT Price to Free Cash Flow Ratio Historical Data,EQT Price to Free Cash Flow Ratio Historical Data,EQT Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,53.73,,48.23
2024-12-31,46.11,$1.11,41.39
2024-09-30,36.5,$0.97,37.65
2024-06-30,36.64,$1.60,22.85
2024-03-31,36.59,$1.24,29.57
2023-12-31,37.99,$2.81,13.54
2023-09-30,39.72,$4.29,9.25
2023-06-30,40.12,$6.78,5.92
2023-03-31,30.98,$6.10,5.08
2022-12-31,32.69,$5.08,6.43
2022-09-30,39.24,$5.54,7.08
2022-06-30,33.01,$3.07,10.75
2022-03-31,32.91,$3.00,10.98
2021-12-31,20.74,$1.58,13.11
2021-09-30,19.46,$-2.65,0.0
2021-06-30,21.17,$-2.49,0.0
2021-03-31,17.67,$-0.68,0.0
2020-12-31,12.09,$-0.26,0.0
2020-09-30,12.3,$1.29,9.55
2020-06-30,11.32,$0.96,11.76
2020-03-31,6.72,$-0.03,0.0
2019-12-31,10.31,$0.98,10.55
2019-09-30,10.04,$-3.02,0.0
2019-06-30,14.88,$-0.85,0.0
2019-03-31,19.49,$-2.07,0.0
2018-12-31,17.72,$-3.81,0.0
2018-09-30,22.5,$3.23,6.97
2018-06-30,28.06,$1.03,27.19
2018-03-31,24.14,$-3.28,0.0
2017-12-31,28.91,$-2.44,0.0
2017-09-30,33.12,$-8.88,0.0
2017-06-30,29.73,$-11.51,0.0
2017-03-31,30.98,$-7.35,0.0
2016-12-31,33.15,$-9.20,0.0
2016-09-30,36.79,$-6.16,0.0
2016-06-30,39.21,$-5.28,0.0
2016-03-31,34.05,$-7.25,0.0
2015-12-31,26.37,$-7.96,0.0
2015-09-30,32.75,$-8.62,0.0
2015-06-30,41.12,$-7.77,0.0
2015-03-31,41.88,$-7.08,0.0
2014-12-31,38.24,$-5.61,0.0
2014-09-30,46.23,$-1.48,0.0
2014-06-30,53.97,$-0.26,0.0
2014-03-31,48.72,$0.89,54.77
2013-12-31,45.1,$0.92,48.86
2013-09-30,44.55,$-3.15,0.0
2013-06-30,39.84,$-3.50,0.0
2013-03-31,33.99,$-3.50,0.0
2012-12-31,29.58,$-3.80,0.0
2012-09-30,29.48,$-3.67,0.0
2012-06-30,26.69,$-0.97,0.0
2012-03-31,23.89,$0.04,627.0
2011-12-31,27.03,$1.74,15.58
2011-09-30,26.23,$1.66,15.85
2011-06-30,25.73,$-1.63,0.0
2011-03-31,24.33,$-2.08,0.0
2010-12-31,21.77,$-3.05,0.0
2010-09-30,17.4,$-2.79,0.0
2010-06-30,17.34,$-2.34,0.0
2010-03-31,19.58,$-1.42,0.0
2009-12-31,20.86,$-1.81,0.0
