MIND Technology Price to Free Cash Flow Ratio Historical Data,MIND Technology Price to Free Cash Flow Ratio Historical Data,MIND Technology Price to Free Cash Flow Ratio Historical Data,MIND Technology Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,7.13,,24.62
2024-10-31,3.58,$0.29,12.36
2024-07-31,4.5,$-3.47,0.0
2024-04-30,6.1,$-4.40,0.0
2024-01-31,6.0,$-3.37,0.0
2023-10-31,4.67,$-3.89,0.0
2023-07-31,70.0,$-2.30,0.0
2023-04-30,49.01,$-1.36,0.0
2023-01-31,65.5,$-1.72,0.0
2022-10-31,60.0,$-4.87,0.0
2022-07-31,80.0,$-5.95,0.0
2022-04-30,102.0,$-9.48,0.0
2022-01-31,138.0,$-9.10,0.0
2021-10-31,170.0,$-6.56,0.0
2021-07-31,198.0,$-6.52,0.0
2021-04-30,232.0,$-6.26,0.0
2021-01-31,214.0,$-2.43,0.0
2020-10-31,205.0,$-3.86,0.0
2020-07-31,228.0,$-4.93,0.0
2020-04-30,96.5,$-3.70,0.0
2020-01-31,284.0,$-6.71,0.0
2019-10-31,230.0,$0.81,283.74
2019-07-31,416.0,$2.02,205.65
2019-04-30,373.0,$-1.45,0.0
2019-01-31,398.0,$-1.92,0.0
2018-10-31,400.0,$-6.19,0.0
2018-07-31,386.0,$1.52,253.25
