CoreCard Price to Free Cash Flow Ratio Historical Data,CoreCard Price to Free Cash Flow Ratio Historical Data,CoreCard Price to Free Cash Flow Ratio Historical Data,CoreCard Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,20.77,,189.51
2024-12-31,22.7,$0.11,207.12
2024-09-30,14.52,$-0.06,0.0
2024-06-30,14.59,$0.01,1459.0
2024-03-31,11.05,$1.08,10.19
2023-12-31,13.83,$1.36,10.13
2023-09-30,20.0,$1.33,15.06
2023-06-30,25.36,$1.95,13.03
2023-03-31,30.13,$0.57,53.32
2022-12-31,28.97,$0.13,220.64
2022-09-30,21.77,$1.52,14.37
2022-06-30,24.41,$0.14,180.55
2022-03-31,27.4,$0.54,50.28
2021-12-31,38.8,$0.40,97.96
2021-09-30,40.61,$-0.17,0.0
2021-06-30,31.46,$0.54,57.96
2021-03-31,40.91,$0.56,72.55
2020-12-31,40.11,$1.56,25.66
2020-09-30,38.98,$1.31,29.7
2020-06-30,34.08,$1.27,26.81
2020-03-31,33.99,$1.16,29.18
2019-12-31,39.94,$0.99,40.21
2019-09-30,41.54,$0.85,49.14
2019-06-30,28.79,$1.42,20.33
2019-03-31,31.94,$1.42,22.43
2018-12-31,12.92,$0.65,19.96
2018-09-30,10.57,$0.26,39.92
2018-06-30,8.67,$-0.57,0.0
2018-03-31,5.11,$-0.73,0.0
2017-12-31,4.56,$-0.38,0.0
2017-09-30,3.82,$-0.24,0.0
2017-06-30,3.5,$-0.24,0.0
2017-03-31,4.5,$-0.17,0.0
2016-12-31,4.24,$-0.18,0.0
2016-09-30,3.66,$-0.14,0.0
2016-06-30,3.72,$-0.14,0.0
2016-03-31,3.44,$-0.24,0.0
2015-12-31,2.89,$-0.26,0.0
2015-09-30,2.6,$-0.31,0.0
2015-06-30,2.66,$-0.30,0.0
2015-03-31,2.58,$-0.22,0.0
2014-12-31,1.44,$-0.24,0.0
2014-09-30,1.23,$-0.08,0.0
2014-06-30,1.23,$-0.02,0.0
2014-03-31,1.5,$0.04,42.03
2013-12-31,1.45,$0.11,13.26
2013-09-30,1.35,$0.07,18.4
2013-06-30,1.13,$0.02,63.24
2013-03-31,1.39,$-0.04,0.0
2012-12-31,1.23,$-0.08,0.0
2012-09-30,1.33,$-0.06,0.0
2012-06-30,1.35,$-0.03,0.0
2012-03-31,1.3,$0.03,51.94
2011-12-31,1.43,$-0.01,0.0
2011-09-30,1.34,$0.00,0.0
2011-06-30,1.21,$0.02,57.57
2011-03-31,1.57,$-0.01,0.0
2010-12-31,1.16,$0.03,44.6
2010-09-30,0.9,$-0.12,0.0
2010-06-30,1.12,$-0.07,0.0
2010-03-31,1.07,$-0.08,0.0
2009-12-31,0.84,$-0.18,0.0
