Riley Exploration Permian Price to Free Cash Flow Ratio Historical Data,Riley Exploration Permian Price to Free Cash Flow Ratio Historical Data,Riley Exploration Permian Price to Free Cash Flow Ratio Historical Data,Riley Exploration Permian Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,30.2,,5.42
2024-12-31,31.92,$5.57,5.73
2024-09-30,26.12,$6.16,4.24
2024-06-30,27.57,$4.97,5.55
2024-03-31,31.72,$4.45,7.12
2023-12-31,25.76,$3.29,7.82
2023-09-30,29.71,$0.78,37.9
2023-06-30,33.07,$0.76,43.44
2023-03-31,34.97,$1.01,34.51
2022-12-31,26.78,$2.14,12.54
2022-09-30,17.05,$1.10,15.45
2022-06-30,21.47,$-0.05,0.0
2022-03-31,22.0,$-0.77,0.0
2021-12-31,16.72,$-0.38,0.0
2021-09-30,20.09,$2.25,8.93
2021-06-30,24.46,$1.38,17.7
2021-03-31,21.72,$2.10,10.35
2020-12-31,12.43,$0.60,20.7
2020-09-30,8.24,$-1.02,0.0
2020-06-30,5.54,$0.09,61.25
2020-03-31,4.51,$-0.07,0.0
2019-12-31,4.91,$-0.01,0.0
2019-09-30,6.16,$-0.03,0.0
2019-06-30,8.37,$0.04,197.42
2019-03-31,10.33,$0.21,48.61
2018-12-31,9.52,$0.35,26.85
2018-09-30,11.63,$0.58,20.2
2018-06-30,7.47,$0.58,12.94
2018-03-31,7.12,$0.21,33.15
2017-12-31,8.02,$-0.03,0.0
2017-09-30,6.72,$-0.20,0.0
2017-06-30,6.82,$-0.17,0.0
2017-03-31,3.91,$-0.21,0.0
2016-12-31,7.02,$-2.78,0.0
2016-09-30,11.73,$-2.26,0.0
2016-06-30,7.52,$-2.85,0.0
2016-03-31,13.53,$-2.75,0.0
2015-12-31,12.03,$-0.12,0.0
2015-09-30,23.07,$-0.44,0.0
2015-06-30,26.77,$2.30,11.62
2015-03-31,22.86,$2.75,8.31
2014-12-31,25.86,$5.08,5.09
2014-09-30,47.11,$4.80,9.82
2014-06-30,44.21,$6.25,7.07
2014-03-31,50.92,$9.33,5.46
2013-12-31,39.1,$11.17,3.5
2013-09-30,42.1,$13.92,3.02
2013-06-30,51.64,$15.15,3.41
2013-03-31,64.76,$8.98,7.22
2012-12-31,60.16,$0.92,65.2
2012-09-30,72.28,$-2.59,0.0
2012-06-30,79.89,$-7.24,0.0
2012-03-31,110.27,$-4.08,0.0
2011-12-31,71.34,$-1.27,0.0
2011-09-30,75.18,$-0.50,0.0
2011-06-30,74.18,$-0.35,0.0
2011-03-31,117.29,$-0.66,0.0
2010-12-31,63.35,$0.61,103.93
2010-09-30,43.11,$0.61,71.22
2010-06-30,45.21,$0.71,63.72
2010-03-31,47.37,$0.12,409.38
2009-12-31,45.11,$0.42,107.33
