Barnwell Industries Price to Free Cash Flow Ratio Historical Data,Barnwell Industries Price to Free Cash Flow Ratio Historical Data,Barnwell Industries Price to Free Cash Flow Ratio Historical Data,Barnwell Industries Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,1.73,,0.0
2024-12-31,1.51,$-0.13,0.0
2024-09-30,2.26,$0.21,10.98
2024-06-30,2.35,$0.25,9.54
2024-03-31,2.36,$-0.15,0.0
2023-12-31,2.43,$-0.29,0.0
2023-09-30,2.64,$-0.95,0.0
2023-06-30,2.53,$-1.00,0.0
2023-03-31,2.17,$-0.41,0.0
2022-12-31,2.9,$-0.80,0.0
2022-09-30,2.58,$-0.06,0.0
2022-06-30,2.28,$-0.02,0.0
2022-03-31,2.5,$0.05,49.09
2021-12-31,2.83,$0.43,6.53
2021-09-30,2.95,$0.33,8.83
2021-06-30,3.22,$0.32,10.12
2021-03-31,2.5,$0.04,62.16
2020-12-31,1.23,$0.24,5.15
2020-09-30,0.83,$-0.05,0.0
2020-06-30,0.87,$-0.18,0.0
2020-03-31,0.6,$-0.42,0.0
2019-12-31,1.0,$-0.47,0.0
2019-09-30,0.51,$-0.30,0.0
2019-06-30,1.1,$-1.53,0.0
2019-03-31,1.44,$-1.33,0.0
2018-12-31,1.29,$-1.55,0.0
2018-09-30,1.73,$-1.72,0.0
2018-06-30,2.04,$-0.23,0.0
2018-03-31,1.82,$-0.08,0.0
2017-12-31,2.02,$0.19,10.42
2017-09-30,1.75,$0.47,3.74
2017-06-30,1.76,$0.09,19.69
2017-03-31,1.87,$1.02,1.84
2016-12-31,1.59,$0.61,2.61
2016-09-30,1.6,$0.29,5.5
2016-06-30,1.51,$1.91,0.79
2016-03-31,1.65,$0.85,1.95
2015-12-31,1.83,$0.82,2.22
2015-09-30,1.81,$0.98,1.85
2015-06-30,2.3,$0.37,6.15
2015-03-31,2.31,$1.15,2.02
2014-12-31,2.6,$1.89,1.38
2014-09-30,2.54,$1.99,1.28
2014-06-30,3.05,$1.04,2.92
2014-03-31,2.93,$0.35,8.33
2013-12-31,2.93,$-0.23,0.0
2013-09-30,3.35,$-0.08,0.0
2013-06-30,3.06,$-0.02,0.0
2013-03-31,3.26,$0.68,4.76
2012-12-31,3.23,$0.76,4.25
2012-09-30,3.13,$0.62,5.05
2012-06-30,2.89,$-0.06,0.0
2012-03-31,3.21,$-0.38,0.0
2011-12-31,2.63,$-0.03,0.0
2011-09-30,3.4,$-0.10,0.0
2011-06-30,5.01,$0.62,8.05
2011-03-31,7.04,$0.27,26.37
2010-12-31,3.52,$0.50,7.02
2010-09-30,3.13,$0.80,3.91
2010-06-30,2.79,$0.87,3.22
2010-03-31,4.22,$0.56,7.48
2009-12-31,4.46,$-1.23,0.0
