OceanPal Price to Free Cash Flow Ratio Historical Data,OceanPal Price to Free Cash Flow Ratio Historical Data,OceanPal Price to Free Cash Flow Ratio Historical Data,OceanPal Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,0.91,,0.0
2024-09-30,1.6,$-1.43,0.0
2024-06-30,1.86,$0.39,4.73
2024-03-31,2.81,$-0.64,0.0
2023-12-31,2.23,$-1.05,0.0
2023-09-30,2.93,$-33.29,0.0
2023-06-30,1.64,$-8.71,0.0
2023-03-31,0.35,$-41.95,0.0
2022-12-31,1.11,$-22.96,0.0
2022-09-30,0.31,$10.52,0.03
