InnSuites Hospitality Trust Price to Free Cash Flow Ratio Historical Data,InnSuites Hospitality Trust Price to Free Cash Flow Ratio Historical Data,InnSuites Hospitality Trust Price to Free Cash Flow Ratio Historical Data,InnSuites Hospitality Trust Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,2.56,,0.0
2024-10-31,1.91,$-0.14,0.0
2024-07-31,1.58,$-0.11,0.0
2024-04-30,1.36,$0.04,36.61
2024-01-31,1.42,$0.10,14.3
2023-10-31,1.14,$0.10,11.23
2023-07-31,1.97,$0.10,19.92
2023-04-30,1.25,$-0.04,0.0
2023-01-31,1.62,$-0.03,0.0
2022-10-31,1.84,$0.01,0.0
2022-07-31,2.92,$0.01,0.0
2022-04-30,2.46,$0.02,112.89
2022-01-31,2.88,$0.02,177.73
2021-10-31,3.61,$-0.01,0.0
2021-07-31,5.01,$-0.04,0.0
2021-04-30,2.17,$-0.05,0.0
2021-01-31,2.73,$-0.09,0.0
2020-10-31,1.59,$-0.20,0.0
2020-07-31,0.96,$-0.20,0.0
2020-04-30,0.86,$-0.22,0.0
2020-01-31,1.5,$-0.14,0.0
2019-10-31,1.48,$0.01,0.0
2019-07-31,1.43,$0.95,1.51
2019-04-30,1.55,$0.84,1.84
2019-01-31,1.58,$0.80,1.97
2018-10-31,1.38,$0.55,2.51
2018-07-31,1.16,$-0.26,0.0
2018-04-30,1.54,$0.42,3.63
2018-01-31,1.61,$0.40,3.99
2017-10-31,1.61,$0.67,2.38
2017-07-31,1.85,$0.47,3.95
2017-04-30,1.74,$-0.18,0.0
2017-01-31,1.99,$-0.23,0.0
2016-10-31,1.96,$-0.44,0.0
2016-07-31,2.09,$-0.03,0.0
2016-04-30,2.28,$-0.01,0.0
2016-01-31,2.03,$0.09,23.76
2015-10-31,2.16,$0.23,9.54
2015-07-31,2.1,$-0.10,0.0
2015-04-30,2.01,$-0.12,0.0
2015-01-31,2.44,$-0.10,0.0
2014-10-31,2.01,$-0.17,0.0
2014-07-31,1.78,$-0.12,0.0
2014-04-30,1.79,$-0.02,0.0
2014-01-31,1.37,$-0.01,0.0
2013-10-31,1.63,$0.15,10.63
2013-07-31,1.53,$0.10,15.45
2013-04-30,1.67,$-0.01,0.0
2013-01-31,1.55,$-0.05,0.0
2012-10-31,1.94,$-0.03,0.0
2012-07-31,2.12,$-0.06,0.0
2012-04-30,2.03,$-0.00,0.0
2012-01-31,1.98,$-0.00,0.0
2011-10-31,1.85,$-0.22,0.0
2011-07-31,1.54,$-0.18,0.0
2011-04-30,1.63,$-0.20,0.0
2011-01-31,1.17,$-0.20,0.0
2010-10-31,1.07,$0.00,0.0
2010-07-31,1.17,$-0.05,0.0
2010-04-30,1.28,$-0.02,0.0
2010-01-31,1.2,$0.05,24.11
2009-10-31,1.12,$-0.01,0.0
