Nuvectis Pharma Price to Free Cash Flow Ratio Historical Data,Nuvectis Pharma Price to Free Cash Flow Ratio Historical Data,Nuvectis Pharma Price to Free Cash Flow Ratio Historical Data,Nuvectis Pharma Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,9.35,,0.0
2024-12-31,5.41,$-0.72,0.0
2024-09-30,6.29,$-0.84,0.0
2024-06-30,6.33,$-0.88,0.0
2024-03-31,8.2,$-0.96,0.0
2023-12-31,8.34,$-1.03,0.0
2023-09-30,12.89,$-1.11,0.0
2023-06-30,15.97,$-1.21,0.0
2023-03-31,13.11,$-1.06,0.0
2022-12-31,7.5,$-1.07,0.0
