Syra Health Price to Free Cash Flow Ratio Historical Data,Syra Health Price to Free Cash Flow Ratio Historical Data,Syra Health Price to Free Cash Flow Ratio Historical Data,Syra Health Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,0.32,,0.0
2024-12-31,0.41,$-0.39,0.0
2024-09-30,0.42,$-0.71,0.0
2024-06-30,1.37,$-0.92,0.0
