Fortress Biotech Price to Free Cash Flow Ratio Historical Data,Fortress Biotech Price to Free Cash Flow Ratio Historical Data,Fortress Biotech Price to Free Cash Flow Ratio Historical Data,Fortress Biotech Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,1.7,,0.0
2024-09-30,1.45,$-6.82,0.0
2024-06-30,1.71,$-7.38,0.0
2024-03-31,2.0,$-10.57,0.0
2023-12-31,3.01,$-15.45,0.0
2023-09-30,4.35,$-20.33,0.0
2023-06-30,8.25,$-26.23,0.0
2023-03-31,12.3,$-28.76,0.0
2022-12-31,9.83,$-30.77,0.0
2022-09-30,129.0,$-30.16,0.0
2022-06-30,125.99,$-28.20,0.0
2022-03-31,204.0,$-28.58,0.0
2021-12-31,375.0,$-24.31,0.0
2021-09-30,483.0,$-21.95,0.0
2021-06-30,535.5,$-20.75,0.0
2021-03-31,529.5,$-17.48,0.0
2020-12-31,475.5,$-18.67,0.0
2020-09-30,606.0,$-22.25,0.0
2020-06-30,402.0,$-21.92,0.0
2020-03-31,283.5,$-27.21,0.0
2019-12-31,385.5,$-27.94,0.0
2019-09-30,211.5,$-27.68,0.0
2019-06-30,225.0,$-32.58,0.0
2019-03-31,267.0,$-32.82,0.0
2018-12-31,129.0,$-36.91,0.0
2018-09-30,240.0,$-36.00,0.0
2018-06-30,447.0,$-36.79,0.0
2018-03-31,682.5,$-36.21,0.0
2017-12-31,598.5,$-30.70,0.0
2017-09-30,663.0,$-30.26,0.0
2017-06-30,712.5,$-24.93,0.0
2017-03-31,555.0,$-20.32,0.0
2016-12-31,405.0,$-21.00,0.0
2016-09-30,445.5,$-16.75,0.0
2016-06-30,403.5,$-15.05,0.0
2016-03-31,465.0,$-13.76,0.0
2015-12-31,418.5,$-11.91,0.0
2015-09-30,390.0,$-10.29,0.0
2015-06-30,504.0,$-8.96,0.0
2015-03-31,577.5,$-7.64,0.0
2014-12-31,366.0,$-6.74,0.0
2014-09-30,315.0,$-9.53,0.0
2014-06-30,258.0,$-10.52,0.0
2014-03-31,297.0,$-12.70,0.0
2013-12-31,394.5,$-14.63,0.0
2013-09-30,1051.65,$-16.63,0.0
2013-06-30,1290.0,$-15.47,0.0
2013-03-31,1458.0,$-16.19,0.0
2012-12-31,676.5,$-16.10,0.0
2012-09-30,780.0,$-27.08,0.0
