Navitas Semiconductor Price to Free Cash Flow Ratio Historical Data,Navitas Semiconductor Price to Free Cash Flow Ratio Historical Data,Navitas Semiconductor Price to Free Cash Flow Ratio Historical Data,Navitas Semiconductor Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,2.33,,0.0
2024-12-31,3.57,$-0.36,0.0
2024-09-30,2.45,$-0.46,0.0
2024-06-30,3.93,$-0.38,0.0
2024-03-31,4.77,$-0.34,0.0
2023-12-31,8.07,$-0.27,0.0
2023-09-30,6.95,$-0.17,0.0
2023-06-30,10.54,$-0.29,0.0
2023-03-31,7.31,$-0.31,0.0
2022-12-31,3.51,$-0.34,0.0
2022-09-30,4.85,$0.02,226.64
2022-06-30,3.86,$-0.58,0.0
2022-03-31,10.28,$-0.89,0.0
2021-12-31,17.01,$-1.12,0.0
