Tourmaline Bio Price to Free Cash Flow Ratio Historical Data,Tourmaline Bio Price to Free Cash Flow Ratio Historical Data,Tourmaline Bio Price to Free Cash Flow Ratio Historical Data,Tourmaline Bio Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,16.88,,0.0
2024-12-31,20.28,$-3.05,0.0
2024-09-30,25.71,$9.21,2.79
2024-06-30,12.86,$6.30,2.04
2024-03-31,22.9,$-2.34,0.0
2023-12-31,26.18,$-5.93,0.0
2023-09-30,2.81,$-12.74,0.0
2023-06-30,3.04,$-12.19,0.0
2023-03-31,1.88,$-7.35,0.0
2022-12-31,1.02,$-7.44,0.0
2022-09-30,2.63,$-18.87,0.0
2022-06-30,4.51,$-15.82,0.0
2022-03-31,9.84,$-18.87,0.0
