Genuine Parts Price to Free Cash Flow Ratio Historical Data,Genuine Parts Price to Free Cash Flow Ratio Historical Data,Genuine Parts Price to Free Cash Flow Ratio Historical Data,Genuine Parts Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,120.74,,20.91
2024-12-31,116.76,$5.77,20.22
2024-09-30,138.56,$7.09,19.53
2024-06-30,136.19,$7.96,17.12
2024-03-31,152.55,$7.87,19.38
2023-12-31,135.46,$6.72,20.15
2023-09-30,140.21,$6.16,22.78
2023-06-30,163.32,$5.28,30.92
2023-03-31,160.44,$7.44,21.57
2022-12-31,165.47,$8.94,18.51
2022-09-30,141.71,$8.87,15.97
2022-06-30,125.51,$8.15,15.41
2022-03-31,118.15,$7.50,15.76
2021-12-31,130.5,$7.06,18.48
2021-09-30,112.14,$9.98,11.23
2021-06-30,116.21,$11.42,10.17
2021-03-31,105.55,$14.86,7.1
2020-12-31,91.02,$12.95,7.03
2020-09-30,85.55,$9.65,8.87
2020-06-30,77.54,$8.81,8.8
2020-03-31,59.52,$3.77,15.77
2019-12-31,93.04,$3.95,23.53
2019-09-30,86.59,$3.58,24.16
2019-06-30,89.33,$4.14,21.56
2019-03-31,95.89,$5.14,18.65
2018-12-31,81.6,$5.74,14.23
2018-09-30,83.88,$7.23,11.6
2018-06-30,76.91,$5.28,14.58
2018-03-31,74.71,$4.81,15.54
2017-12-31,78.38,$4.60,17.04
2017-09-30,78.35,$4.09,19.17
2017-06-30,75.38,$4.20,17.93
2017-03-31,74.54,$5.13,14.52
2016-12-31,76.51,$5.44,14.08
2016-09-30,79.92,$5.83,13.7
2016-06-30,80.03,$7.42,10.78
2016-03-31,78.01,$7.07,11.03
2015-12-31,66.96,$6.94,9.65
2015-09-30,64.18,$6.61,9.7
2015-06-30,68.8,$5.08,13.53
2015-03-31,71.13,$4.90,14.51
2014-12-31,80.81,$4.48,18.05
2014-09-30,66.14,$4.56,14.49
2014-06-30,65.78,$5.51,11.94
2014-03-31,64.63,$5.66,11.42
2013-12-31,61.51,$6.06,10.15
2013-09-30,59.41,$5.60,10.61
2013-06-30,56.94,$5.50,10.35
2013-03-31,56.49,$4.87,11.6
2012-12-31,45.71,$5.20,8.79
2012-09-30,43.54,$5.05,8.63
2012-06-30,42.64,$4.41,9.67
2012-03-31,44.05,$4.11,10.72
2011-12-31,42.62,$3.36,12.67
2011-09-30,35.11,$3.30,10.64
2011-06-30,37.29,$3.04,12.28
2011-03-31,36.44,$3.20,11.4
2010-12-31,34.59,$3.77,9.18
2010-09-30,29.8,$3.67,8.11
2010-06-30,26.11,$3.69,7.07
2010-03-31,27.67,$4.13,6.71
2009-12-31,24.61,$4.48,5.5
