Clorox Price to Free Cash Flow Ratio Historical Data,Clorox Price to Free Cash Flow Ratio Historical Data,Clorox Price to Free Cash Flow Ratio Historical Data,Clorox Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,145.34,,26.09
2024-12-31,162.41,$5.57,29.16
2024-09-30,161.67,$5.36,30.15
2024-06-30,134.3,$3.87,34.7
2024-03-31,149.44,$4.57,32.71
2023-12-31,138.02,$5.86,23.57
2023-09-30,125.62,$6.39,19.65
2023-06-30,151.32,$7.49,20.21
2023-03-31,149.49,$6.79,22.02
2022-12-31,131.47,$5.82,22.6
2022-09-30,119.28,$5.47,21.8
2022-06-30,129.92,$4.32,30.09
2022-03-31,127.12,$4.41,28.8
2021-12-31,158.37,$4.61,34.39
2021-09-30,149.35,$4.90,30.51
2021-06-30,161.22,$7.42,21.72
2021-03-31,171.86,$10.29,16.7
2020-12-31,178.98,$10.80,16.57
2020-09-30,185.33,$10.86,17.07
2020-06-30,192.5,$10.12,19.02
2020-03-31,151.19,$7.55,20.02
2019-12-31,133.09,$6.32,21.07
2019-09-30,130.71,$6.04,21.63
2019-06-30,130.94,$6.06,21.62
2019-03-31,136.37,$6.12,22.27
2018-12-31,130.17,$6.95,18.73
2018-09-30,126.23,$6.05,20.85
2018-06-30,112.71,$5.94,18.96
2018-03-31,110.01,$5.79,19.01
2017-12-31,122.21,$5.43,22.49
2017-09-30,107.67,$5.58,19.28
2017-06-30,108.06,$4.82,22.42
2017-03-31,108.71,$4.51,24.12
2016-12-31,96.13,$4.88,19.69
2016-09-30,99.59,$4.53,21.97
2016-06-30,109.45,$4.60,23.79
2016-03-31,99.1,$5.11,19.41
2015-12-31,99.09,$4.90,20.24
2015-09-30,89.7,$4.92,18.24
2015-06-30,80.2,$5.64,14.22
2015-03-31,84.54,$5.25,16.11
2014-12-31,79.26,$5.30,14.94
2014-09-30,72.5,$5.27,13.76
2014-06-30,68.44,$4.78,14.31
2014-03-31,65.39,$4.38,14.94
2013-12-31,68.36,$3.83,17.86
2013-09-30,59.75,$4.37,13.67
2013-06-30,60.29,$4.40,13.7
2013-03-31,63.75,$4.24,15.04
2012-12-31,52.29,$4.21,12.42
2012-09-30,51.01,$3.64,14.01
2012-06-30,50.85,$3.17,16.02
2012-03-31,47.83,$3.17,15.07
2011-12-31,45.91,$3.07,14.94
2011-09-30,45.35,$3.30,13.75
2011-06-30,45.73,$3.40,13.44
2011-03-31,47.13,$3.81,12.38
2010-12-31,42.2,$4.15,10.18
2010-09-30,44.16,$4.75,9.3
2010-06-30,40.78,$4.37,9.34
2010-03-31,41.75,$4.16,10.03
2009-12-31,39.38,$5.07,7.77
