Heatwurx Price to Free Cash Flow Ratio Historical Data,Heatwurx Price to Free Cash Flow Ratio Historical Data,Heatwurx Price to Free Cash Flow Ratio Historical Data,Heatwurx Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,0.43,,0.0
2024-12-31,0.88,$-3.68,0.0
2024-09-30,1.37,$-4.50,0.0
2024-06-30,2.24,$-4.86,0.0
2024-03-31,2.37,$-5.12,0.0
2023-12-31,0.33,$-6.15,0.0
2023-09-30,0.25,$-7.55,0.0
2023-06-30,0.5,$-9.84,0.0
2023-03-31,0.5,$-11.50,0.0
2022-12-31,1.1,$-11.92,0.0
2022-09-30,2.26,$-12.44,0.0
2022-06-30,2.81,$-10.81,0.0
2022-03-31,3.01,$-10.58,0.0
2021-12-31,4.9,$-11.38,0.0
2021-09-30,8.57,$-12.84,0.0
2021-06-30,8.19,$-14.14,0.0
