Banco Bradesco SA Price to Free Cash Flow Ratio Historical Data,Banco Bradesco SA Price to Free Cash Flow Ratio Historical Data,Banco Bradesco SA Price to Free Cash Flow Ratio Historical Data,Banco Bradesco SA Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,2.21,,1.29
2024-09-30,2.62,$1.71,1.53
2024-06-30,2.19,$2.36,0.93
2024-03-31,2.7,$2.41,1.12
2023-09-30,2.57,$1.68,1.53
2023-03-31,2.32,$0.42,5.56
2022-03-31,3.51,$1.71,2.05
2021-09-30,2.84,$1.98,1.43
2021-03-31,3.09,$1.87,1.66
2020-09-30,2.21,$2.36,0.94
2020-03-31,2.6,$1.03,2.53
2019-03-31,5.49,$0.65,8.5
2018-03-31,5.25,$0.46,11.41
2017-03-31,3.93,$0.30,13.17
2016-03-31,2.48,$2.01,1.23
2015-06-30,2.9,$3.63,0.8
2015-03-31,2.92,$4.83,0.6
2014-12-31,3.48,$5.34,0.65
2014-09-30,3.65,$3.50,1.04
2014-06-30,3.71,$1.31,2.82
2014-03-31,3.47,$5.31,0.65
2013-12-31,3.14,$4.57,0.69
2013-09-30,3.43,$3.15,1.09
2013-06-30,3.21,$3.09,1.04
2013-03-31,4.16,$-1.12,0.0
2012-12-31,3.85,$2.85,1.35
2012-09-30,3.5,$3.70,0.95
2012-06-30,3.23,$2.39,1.35
2012-03-31,3.77,$1.49,2.53
2011-12-31,3.58,$-0.79,0.0
2011-09-30,3.1,$-2.00,0.0
2011-06-30,4.29,$-2.66,0.0
2011-03-31,4.31,$-1.58,0.0
2010-12-31,4.18,$-3.43,0.0
2010-09-30,4.13,$-2.65,0.0
2010-06-30,2.92,$-0.28,0.0
2010-03-31,3.36,$-0.52,0.0
2009-12-31,3.62,$0.05,71.16
