Assured Guaranty Price to Free Cash Flow Ratio Historical Data,Assured Guaranty Price to Free Cash Flow Ratio Historical Data,Assured Guaranty Price to Free Cash Flow Ratio Historical Data,Assured Guaranty Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,86.76,,100.23
2024-12-31,90.01,$0.87,103.99
2024-09-30,79.26,$3.42,23.14
2024-06-30,76.59,$0.19,404.36
2024-03-31,86.27,$1.27,67.75
2023-12-31,73.74,$7.73,9.53
2023-09-30,59.38,$-5.09,0.0
2023-06-30,54.49,$-3.42,0.0
2023-03-31,48.83,$-20.40,0.0
2022-12-31,60.18,$-38.80,0.0
2022-09-30,46.64,$-31.10,0.0
2022-06-30,53.46,$-41.70,0.0
2022-03-31,60.74,$-33.29,0.0
2021-12-31,47.69,$-26.07,0.0
2021-09-30,44.29,$-26.32,0.0
2021-06-30,44.72,$-17.27,0.0
2021-03-31,39.64,$-14.14,0.0
2020-12-31,29.37,$-9.90,0.0
2020-09-30,19.91,$-9.29,0.0
2020-06-30,22.43,$-8.25,0.0
2020-03-31,23.52,$-3.66,0.0
2019-12-31,44.46,$-5.08,0.0
2019-09-30,40.18,$-2.79,0.0
2019-06-30,37.88,$-1.72,0.0
2019-03-31,39.82,$0.73,54.77
2018-12-31,34.31,$4.15,8.27
2018-09-30,37.7,$3.83,9.85
2018-06-30,31.77,$5.86,5.42
2018-03-31,32.04,$2.97,10.79
2017-12-31,29.84,$3.54,8.43
2017-09-30,33.13,$3.37,9.83
2017-06-30,36.52,$0.98,37.34
2017-03-31,32.35,$0.48,68.09
2016-12-31,32.81,$-0.98,0.0
2016-09-30,24.02,$-1.63,0.0
2016-06-30,21.85,$-1.52,0.0
2016-03-31,21.68,$-1.28,0.0
2015-12-31,22.53,$-0.48,0.0
2015-09-30,21.22,$1.01,20.95
2015-06-30,20.27,$2.78,7.29
2015-03-31,22.21,$2.92,7.61
2014-12-31,21.77,$3.32,6.55
2014-09-30,18.48,$2.55,7.24
2014-06-30,20.34,$1.89,10.75
2014-03-31,20.93,$1.92,10.87
2013-12-31,19.41,$1.30,14.92
2013-09-30,15.36,$1.07,14.3
2013-06-30,17.98,$-1.09,0.0
2013-03-31,16.73,$-1.35,0.0
2012-12-31,11.49,$-0.87,0.0
2012-09-30,10.92,$-0.77,0.0
2012-06-30,11.23,$1.08,10.4
2012-03-31,13.06,$4.71,2.77
2011-12-31,10.34,$3.64,2.84
2011-09-30,8.61,$4.51,1.91
2011-06-30,12.72,$5.44,2.34
2011-03-31,11.59,$1.27,9.12
2010-12-31,13.73,$0.68,20.1
2010-09-30,13.23,$-0.27,0.0
2010-06-30,10.23,$-1.34,0.0
2010-03-31,16.88,$-0.91,0.0
2009-12-31,16.68,$2.16,7.72
