Virgin Galactic Holdings Price to Free Cash Flow Ratio Historical Data,Virgin Galactic Holdings Price to Free Cash Flow Ratio Historical Data,Virgin Galactic Holdings Price to Free Cash Flow Ratio Historical Data,Virgin Galactic Holdings Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,4.26,,0.0
2024-12-31,5.88,$-19.02,0.0
2024-09-30,6.1,$-21.84,0.0
2024-06-30,8.43,$-21.68,0.0
2024-03-31,29.6,$-25.54,0.0
2023-12-31,49.0,$-29.21,0.0
2023-09-30,36.0,$-30.42,0.0
2023-06-30,77.6,$-36.43,0.0
2023-03-31,81.0,$-34.78,0.0
2022-12-31,69.6,$-30.06,0.0
2022-09-30,94.2,$-25.64,0.0
2022-06-30,120.4,$-21.77,0.0
2022-03-31,197.6,$-20.03,0.0
2021-12-31,267.6,$-19.01,0.0
2021-09-30,506.0,$-20.34,0.0
2021-06-30,920.0,$-21.27,0.0
2021-03-31,612.6,$-21.12,0.0
2020-12-31,474.6,$-22.85,0.0
2020-09-30,384.6,$-23.97,0.0
2020-06-30,326.8,$-24.05,0.0
2020-03-31,295.6,$-24.16,0.0
2019-12-31,231.0,$-22.94,0.0
2019-09-30,214.0,$-30.01,0.0
2019-06-30,208.7,$-25.42,0.0
2019-03-31,203.8,$-20.66,0.0
2018-12-31,200.0,$-16.14,0.0
2018-09-30,198.2,$0.04,4641.69
2018-06-30,201.0,$-0.75,0.0
