Alamos Gold Price to Free Cash Flow Ratio Historical Data,Alamos Gold Price to Free Cash Flow Ratio Historical Data,Alamos Gold Price to Free Cash Flow Ratio Historical Data,Alamos Gold Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,26.09,,53.32
2024-09-30,19.91,$0.49,40.7
2024-06-30,15.64,$0.46,34.19
2024-03-31,14.69,$0.35,42.5
2023-12-31,13.39,$0.31,43.05
2023-09-30,11.2,$0.32,35.09
2023-06-30,11.8,$0.23,51.54
2023-03-31,12.09,$0.09,131.23
2022-12-31,9.97,$-0.04,0.0
2022-09-30,7.29,$-0.12,0.0
2022-06-30,6.88,$-0.14,0.0
2022-03-31,8.22,$-0.15,0.0
2021-12-31,7.49,$0.02,372.54
2021-09-30,6.99,$0.21,33.98
2021-06-30,7.4,$0.42,17.82
2021-03-31,7.53,$0.39,19.11
2020-12-31,8.41,$0.31,27.17
2020-09-30,8.45,$0.17,48.33
2020-06-30,8.99,$-0.01,0.0
2020-03-31,4.78,$0.00,0.0
2019-12-31,5.74,$-0.01,0.0
2019-09-30,5.52,$-0.06,0.0
2019-06-30,5.75,$-0.09,0.0
2019-03-31,4.82,$-0.07,0.0
2018-12-31,3.41,$-0.02,0.0
2018-09-30,4.35,$0.05,92.04
2018-06-30,5.37,$0.09,59.57
2018-03-31,4.91,$0.07,71.81
2017-12-31,6.14,$0.00,0.0
2017-09-30,6.36,$-0.03,0.0
2017-06-30,6.76,$-0.04,0.0
2017-03-31,7.55,$-0.05,0.0
2016-12-31,6.43,$-0.04,0.0
2016-09-30,7.7,$-0.11,0.0
2016-06-30,8.08,$-0.23,0.0
2016-03-31,4.96,$-0.37,0.0
2015-12-31,3.08,$-0.40,0.0
2015-09-30,3.45,$-0.67,0.0
2015-06-30,5.29,$-0.34,0.0
2015-03-31,5.48,$-0.24,0.0
2014-12-31,6.67,$-0.20,0.0
2014-09-30,7.44,$0.11,65.3
2014-06-30,9.48,$0.01,0.0
2014-03-31,8.44,$0.03,267.81
2013-12-31,11.34,$0.21,53.89
2013-09-30,14.43,$1.27,11.32
2013-06-30,11.22,$1.18,9.53
2013-03-31,12.63,$1.20,10.57
2012-12-31,16.21,$1.05,15.51
