Unisys Price to Free Cash Flow Ratio Historical Data,Unisys Price to Free Cash Flow Ratio Historical Data,Unisys Price to Free Cash Flow Ratio Historical Data,Unisys Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,4.19,,2.43
2024-12-31,6.33,$1.72,3.68
2024-09-30,5.68,$0.94,6.07
2024-06-30,4.13,$0.37,11.12
2024-03-31,4.91,$0.98,5.0
2023-12-31,5.62,$0.78,7.25
2023-09-30,3.45,$1.02,3.39
2023-06-30,3.98,$1.58,2.52
2023-03-31,3.88,$0.34,11.49
2022-12-31,5.11,$-0.27,0.0
2022-09-30,7.55,$0.09,81.98
2022-06-30,12.03,$0.34,35.38
2022-03-31,21.61,$1.48,14.57
2021-12-31,20.57,$1.30,15.77
2021-09-30,25.14,$-5.49,0.0
2021-06-30,25.31,$-5.42,0.0
2021-03-31,25.42,$-6.29,0.0
2020-12-31,19.68,$-11.74,0.0
2020-09-30,10.67,$-3.85,0.0
2020-06-30,10.91,$-4.44,0.0
2020-03-31,12.35,$-3.39,0.0
2019-12-31,11.86,$0.66,18.04
2019-09-30,7.43,$1.46,5.08
2019-06-30,9.72,$0.60,16.16
2019-03-31,11.67,$-0.26,0.0
2018-12-31,11.63,$1.13,10.3
2018-09-30,20.4,$2.31,8.83
2018-06-30,12.9,$4.60,2.8
2018-03-31,10.75,$3.27,3.28
2017-12-31,8.15,$2.79,2.92
2017-09-30,8.5,$0.87,9.8
2017-06-30,12.8,$0.64,20.12
2017-03-31,13.95,$2.08,6.7
2016-12-31,14.95,$3.71,4.03
2016-09-30,9.74,$3.79,2.57
2016-06-30,7.28,$2.20,3.31
2016-03-31,7.7,$1.19,6.47
2015-12-31,11.05,$-0.88,0.0
2015-09-30,11.9,$-0.17,0.0
2015-06-30,19.99,$-1.35,0.0
2015-03-31,23.21,$-0.22,0.0
2014-12-31,29.48,$1.38,21.33
2014-09-30,23.41,$1.07,21.87
2014-06-30,24.74,$2.27,10.88
2014-03-31,30.46,$2.13,14.27
2013-12-31,33.57,$2.28,14.69
2013-09-30,25.19,$2.78,9.05
2013-06-30,22.07,$3.07,7.19
2013-03-31,22.75,$3.90,5.83
2012-12-31,17.3,$4.22,4.1
2012-09-30,20.82,$3.49,5.96
2012-06-30,19.55,$5.45,3.59
2012-03-31,19.72,$4.81,4.1
2011-12-31,19.71,$4.74,4.16
2011-09-30,15.69,$6.15,2.55
2011-06-30,25.7,$6.24,4.12
2011-03-31,31.22,$6.62,4.71
2010-12-31,25.89,$4.37,5.92
2010-09-30,27.9,$6.02,4.64
2010-06-30,18.49,$6.99,2.65
2010-03-31,34.89,$6.80,5.13
2009-12-31,38.56,$8.94,4.31
