KeyCorp Price to Free Cash Flow Ratio Historical Data,KeyCorp Price to Free Cash Flow Ratio Historical Data,KeyCorp Price to Free Cash Flow Ratio Historical Data,KeyCorp Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,16.09,,24.52
2024-12-31,17.14,$0.66,26.12
2024-09-30,16.57,$-0.09,0.0
2024-06-30,13.89,$1.78,7.8
2024-03-31,15.23,$2.59,5.88
2023-12-31,13.67,$2.97,4.61
2023-09-30,10.04,$3.56,2.82
2023-06-30,8.46,$5.20,1.63
2023-03-31,11.23,$4.52,2.49
2022-12-31,15.46,$4.70,3.29
2022-09-30,14.06,$2.99,4.7
2022-06-30,14.96,$1.74,8.57
2022-03-31,19.24,$2.29,8.39
2021-12-31,19.73,$1.14,17.31
2021-09-30,18.28,$2.14,8.54
2021-06-30,17.3,$1.79,9.64
2021-03-31,16.61,$1.62,10.26
2020-12-31,13.52,$1.65,8.19
2020-09-30,9.71,$1.66,5.86
2020-06-30,9.77,$2.23,4.39
2020-03-31,8.19,$2.10,3.9
2019-12-31,15.81,$2.83,5.58
2019-09-30,13.8,$3.47,3.98
2019-06-30,13.58,$2.62,5.18
2019-03-31,11.93,$3.04,3.92
2018-12-31,11.08,$2.28,4.85
2018-09-30,14.78,$1.31,11.26
2018-06-30,14.4,$2.48,5.82
2018-03-31,14.32,$1.73,8.3
2017-12-31,14.7,$1.56,9.4
2017-09-30,13.64,$1.80,7.58
2017-06-30,13.51,$0.26,52.65
2017-03-31,12.75,$0.83,15.3
2016-12-31,13.04,$1.65,7.93
2016-09-30,8.65,$1.79,4.84
2016-06-30,7.79,$2.03,3.84
2016-03-31,7.73,$2.98,2.6
2015-12-31,9.18,$1.25,7.33
2015-09-30,9.0,$1.17,7.68
2015-06-30,10.33,$1.18,8.73
2015-03-31,9.69,$-0.06,0.0
2014-12-31,9.47,$1.39,6.79
2014-09-30,9.04,$1.17,7.74
2014-06-30,9.67,$0.88,11.05
2014-03-31,9.56,$1.51,6.32
2013-12-31,8.97,$1.59,5.63
2013-09-30,7.59,$1.52,4.99
2013-06-30,7.32,$1.73,4.24
2013-03-31,6.57,$2.62,2.51
2012-12-31,5.52,$1.20,4.59
2012-09-30,5.7,$0.44,12.92
2012-06-30,5.02,$0.73,6.84
2012-03-31,5.47,$0.12,44.32
2011-12-31,4.93,$1.72,2.86
2011-09-30,3.79,$2.66,1.43
2011-06-30,5.3,$2.66,1.99
2011-03-31,5.62,$2.42,2.33
2010-12-31,5.6,$2.93,1.91
2010-09-30,5.03,$3.55,1.42
2010-06-30,4.85,$3.35,1.45
2010-03-31,4.88,$4.17,1.17
2009-12-31,3.49,$3.02,1.16
