Algorhythm Holdings Price to Free Cash Flow Ratio Historical Data,Algorhythm Holdings Price to Free Cash Flow Ratio Historical Data,Algorhythm Holdings Price to Free Cash Flow Ratio Historical Data,Algorhythm Holdings Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,2.3,,0.0
2024-09-30,0.47,$-187.87,0.0
2024-06-30,1.16,$-129.98,0.0
2024-03-31,0.91,$-197.79,0.0
2023-12-31,1.01,$0.00,0.0
2023-09-30,1.01,$79.74,0.01
2023-06-30,1.33,$243.27,0.01
2023-03-31,1.56,$-36.25,0.0
