Hyzon Motors Price to Free Cash Flow Ratio Historical Data,Hyzon Motors Price to Free Cash Flow Ratio Historical Data,Hyzon Motors Price to Free Cash Flow Ratio Historical Data,Hyzon Motors Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-01-30,0.64,,0.0
2024-09-30,2.43,$-21.25,0.0
2024-06-30,0.32,$-23.31,0.0
2024-03-31,0.74,$-26.14,0.0
2023-12-31,0.9,$-29.26,0.0
2023-09-30,1.25,$-31.30,0.0
2023-06-30,0.96,$-35.41,0.0
2023-03-31,0.82,$-35.76,0.0
2022-12-31,1.55,$-32.90,0.0
2022-09-30,1.7,$-39.48,0.0
2022-06-30,2.94,$-41.80,0.0
