Agilon Health Price to Free Cash Flow Ratio Historical Data,Agilon Health Price to Free Cash Flow Ratio Historical Data,Agilon Health Price to Free Cash Flow Ratio Historical Data,Agilon Health Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,4.1,,0.0
2024-12-31,1.9,$-0.17,0.0
2024-09-30,3.93,$-0.36,0.0
2024-06-30,6.54,$-0.38,0.0
2024-03-31,6.1,$-0.39,0.0
2023-12-31,12.55,$-0.42,0.0
2023-09-30,17.76,$-0.40,0.0
2023-06-30,17.34,$-0.35,0.0
2023-03-31,23.75,$-0.45,0.0
2022-12-31,16.14,$-0.36,0.0
2022-09-30,23.42,$-0.38,0.0
2022-06-30,21.83,$-0.43,0.0
2022-03-31,25.35,$-0.48,0.0
