Bitdeer Technologies Group Price to Free Cash Flow Ratio Historical Data,Bitdeer Technologies Group Price to Free Cash Flow Ratio Historical Data,Bitdeer Technologies Group Price to Free Cash Flow Ratio Historical Data,Bitdeer Technologies Group Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,10.0,,0.0
2024-09-30,7.83,$-3.47,0.0
2024-06-30,10.26,$-3.41,0.0
2024-03-31,7.02,$-3.60,0.0
2023-12-31,9.86,$-3.60,0.0
2023-09-30,9.64,$-6.02,0.0
2023-06-30,11.2,$-5.48,0.0
2023-03-31,10.85,$-3.27,0.0
2022-12-31,10.42,$-3.28,0.0
2022-09-30,10.27,$0.33,31.52
2022-06-30,10.11,$-0.01,0.0
