Clene Price to Free Cash Flow Ratio Historical Data,Clene Price to Free Cash Flow Ratio Historical Data,Clene Price to Free Cash Flow Ratio Historical Data,Clene Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,4.27,,0.0
2024-09-30,4.59,$-4.70,0.0
2024-06-30,0.36,$-4.08,0.0
2024-03-31,0.43,$-4.42,0.0
2023-12-31,0.3,$-5.81,0.0
2023-09-30,0.5,$-6.23,0.0
2023-06-30,0.88,$-9.60,0.0
2023-03-31,1.13,$-11.59,0.0
2022-12-31,1.0,$-13.55,0.0
2022-09-30,2.8,$-15.30,0.0
2022-06-30,2.52,$-13.53,0.0
2022-03-31,3.94,$-13.06,0.0
2021-12-31,4.1,$-11.68,0.0
2021-09-30,6.83,$-13.98,0.0
2021-06-30,11.24,$-21.55,0.0
2021-03-31,12.78,$-21.38,0.0
2020-12-31,9.01,$-22.07,0.0
2020-09-30,10.85,$-26.41,0.0
2020-06-30,10.79,$-19.29,0.0
2020-03-31,10.5,$-18.36,0.0
2019-12-31,10.48,$-15.54,0.0
2019-09-30,10.29,$-5.20,0.0
2019-06-30,10.2,$-5.72,0.0
