Aclaris Therapeutics Price to Free Cash Flow Ratio Historical Data,Aclaris Therapeutics Price to Free Cash Flow Ratio Historical Data,Aclaris Therapeutics Price to Free Cash Flow Ratio Historical Data,Aclaris Therapeutics Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,1.57,,0.0
2024-12-31,2.48,$-0.26,0.0
2024-09-30,1.15,$-0.28,0.0
2024-06-30,1.1,$-0.93,0.0
2024-03-31,1.24,$-1.03,0.0
2023-12-31,1.05,$-1.14,0.0
2023-09-30,6.85,$-1.33,0.0
2023-06-30,10.37,$-1.10,0.0
2023-03-31,8.09,$-1.10,0.0
2022-12-31,15.75,$-1.05,0.0
2022-09-30,15.74,$-1.08,0.0
2022-06-30,13.96,$-1.09,0.0
2022-03-31,17.24,$-1.03,0.0
2021-12-31,14.54,$-0.92,0.0
2021-09-30,18.0,$-0.79,0.0
2021-06-30,17.56,$-0.95,0.0
2021-03-31,25.2,$-1.00,0.0
2020-12-31,6.47,$-0.92,0.0
2020-09-30,2.57,$-1.20,0.0
2020-06-30,1.62,$-1.50,0.0
2020-03-31,1.04,$-1.77,0.0
2019-12-31,1.89,$-2.37,0.0
2019-09-30,1.08,$-2.09,0.0
2019-06-30,2.19,$-2.49,0.0
2019-03-31,5.99,$-2.68,0.0
2018-12-31,7.39,$-2.64,0.0
2018-09-30,14.52,$-3.12,0.0
2018-06-30,19.97,$-2.55,0.0
2018-03-31,17.52,$-2.21,0.0
2017-12-31,24.66,$-1.99,0.0
2017-09-30,25.81,$-1.67,0.0
2017-06-30,27.12,$-1.69,0.0
2017-03-31,29.82,$-1.78,0.0
2016-12-31,27.14,$-1.63,0.0
2016-09-30,25.61,$-4.67,0.0
