Simon Property Price to Free Cash Flow Ratio Historical Data,Simon Property Price to Free Cash Flow Ratio Historical Data,Simon Property Price to Free Cash Flow Ratio Historical Data,Simon Property Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,164.45,,17.22
2024-12-31,172.21,$9.55,18.03
2024-09-30,167.09,$9.35,17.87
2024-06-30,148.19,$9.35,15.84
2024-03-31,152.77,$9.45,16.17
2023-12-31,137.46,$9.60,14.32
2023-09-30,102.62,$9.23,11.11
2023-06-30,107.91,$9.49,11.37
2023-03-31,102.89,$9.78,10.52
2022-12-31,106.33,$9.69,10.97
2022-09-30,80.0,$9.79,8.17
2022-06-30,83.19,$9.45,8.8
2022-03-31,113.51,$9.10,12.48
2021-12-31,136.15,$9.47,14.37
2021-09-30,109.57,$9.79,11.19
2021-06-30,107.62,$9.54,11.29
2021-03-31,92.78,$6.67,13.91
2020-12-31,69.55,$6.08,11.45
2020-09-30,51.0,$5.66,9.01
2020-06-30,52.79,$6.29,8.39
2020-03-31,42.35,$9.26,4.58
2019-12-31,113.28,$9.54,11.87
2019-09-30,116.77,$10.44,11.18
2019-06-30,118.18,$10.13,11.66
2019-03-31,133.22,$10.03,13.28
2018-12-31,121.47,$10.18,11.93
2018-09-30,126.42,$9.07,13.94
2018-06-30,120.37,$9.32,12.91
2018-03-31,107.8,$9.37,11.5
2017-12-31,118.46,$9.25,12.81
2017-09-30,109.79,$9.19,11.95
2017-06-30,109.05,$9.41,11.59
2017-03-31,114.69,$8.58,13.37
2016-12-31,117.32,$8.35,14.05
2016-09-30,135.49,$8.23,16.45
2016-06-30,140.88,$7.09,19.87
2016-03-31,133.81,$6.94,19.28
2015-12-31,124.18,$6.57,18.91
2015-09-30,116.36,$6.18,18.82
2015-06-30,108.7,$6.51,16.69
2015-03-31,121.9,$6.19,19.68
2014-12-31,112.65,$6.22,18.1
2014-09-30,100.97,$6.52,15.49
2014-06-30,101.33,$6.20,16.33
2014-03-31,93.38,$6.32,14.77
2013-12-31,85.96,$5.99,14.34
2013-09-30,83.08,$5.76,14.41
2013-06-30,87.84,$5.53,15.9
2013-03-31,87.64,$5.26,16.67
2012-12-31,86.77,$5.64,15.38
2012-09-30,82.71,$5.30,15.6
2012-06-30,84.24,$5.63,14.96
2012-03-31,78.33,$5.49,14.26
2011-12-31,68.85,$5.32,12.95
2011-09-30,58.21,$5.50,10.58
2011-06-30,61.1,$5.43,11.25
2011-03-31,55.94,$5.14,10.89
2010-12-31,51.55,$5.14,10.02
2010-09-30,47.67,$5.09,9.36
2010-06-30,41.23,$4.81,8.58
2010-03-31,42.56,$5.09,8.36
2009-12-31,40.14,$5.01,8.02
