Nokia Price to Free Cash Flow Ratio Historical Data,Nokia Price to Free Cash Flow Ratio Historical Data,Nokia Price to Free Cash Flow Ratio Historical Data,Nokia Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,5.33,,12.86
2024-12-31,4.43,$0.41,10.69
2024-09-30,4.34,$0.75,5.77
2024-06-30,3.72,$0.54,6.93
2024-03-31,3.45,$0.38,9.01
2023-12-31,3.3,$0.17,19.94
2023-09-30,3.57,$-0.10,0.0
2023-06-30,3.94,$0.02,190.43
2023-03-31,4.62,$0.07,67.1
2022-12-31,4.34,$0.17,25.79
2022-09-30,3.98,$0.17,22.81
2022-06-30,4.28,$0.25,17.29
2022-03-31,5.05,$0.27,18.5
2021-12-31,5.75,$0.45,12.74
2021-09-30,5.04,$0.52,9.65
2021-06-30,4.92,$0.47,10.44
2021-03-31,3.66,$0.52,7.05
2020-12-31,3.61,$0.26,13.73
2020-09-30,3.61,$0.39,9.21
2020-06-30,4.07,$0.39,10.55
2020-03-31,2.87,$0.13,21.81
2019-12-31,3.43,$-0.05,0.0
2019-09-30,4.68,$-0.07,0.0
2019-06-30,4.59,$-0.17,0.0
2019-03-31,5.18,$-0.16,0.0
2018-12-31,5.27,$-0.05,0.0
2018-09-30,5.05,$0.07,73.64
2018-06-30,5.21,$-0.20,0.0
2018-03-31,4.77,$0.29,16.31
2017-12-31,4.06,$0.26,15.9
2017-09-30,5.21,$-0.04,0.0
2017-06-30,5.37,$0.28,19.28
2017-03-31,4.59,$-0.16,0.0
2016-12-31,4.07,$-0.37,0.0
2016-09-30,4.9,$-0.34,0.0
2016-06-30,4.82,$-0.24,0.0
2016-03-31,4.75,$-0.19,0.0
2015-12-31,5.64,$0.05,103.95
2015-09-30,5.45,$-0.01,0.0
2015-06-30,5.51,$-0.02,0.0
2015-03-31,5.95,$0.33,18.12
2014-12-31,6.17,$0.32,19.02
2014-09-30,6.64,$0.28,23.66
2014-06-30,5.93,$0.15,38.88
2014-03-31,5.41,$-0.20,0.0
2013-12-31,5.98,$-0.07,0.0
2013-09-30,4.8,$0.04,127.62
2013-06-30,2.76,$-0.09,0.0
2013-03-31,2.42,$0.10,23.48
2012-12-31,2.91,$-0.18,0.0
2012-09-30,1.9,$-0.09,0.0
2012-06-30,1.53,$0.31,4.89
2012-03-31,3.74,$0.09,40.78
2011-12-31,3.28,$0.22,14.86
2011-09-30,3.85,$0.85,4.52
2011-06-30,4.37,$0.68,6.38
2011-03-31,5.44,$1.05,5.16
2010-12-31,6.6,$1.47,4.49
2010-09-30,6.42,$1.19,5.41
2010-06-30,5.21,$1.34,3.9
2010-03-31,9.45,$1.32,7.18
2009-12-31,7.81,$1.05,7.46
