Auburn National Bancorporation Price to Free Cash Flow Ratio Historical Data,Auburn National Bancorporation Price to Free Cash Flow Ratio Historical Data,Auburn National Bancorporation Price to Free Cash Flow Ratio Historical Data,Auburn National Bancorporation Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,20.7,,8.29
2024-12-31,23.49,$2.50,9.41
2024-09-30,22.64,$2.01,11.25
2024-06-30,17.84,$2.40,7.43
2024-03-31,18.53,$2.47,7.5
2023-12-31,20.19,$3.28,6.15
2023-09-30,20.14,$4.42,4.55
2023-06-30,19.67,$4.38,4.49
2023-03-31,20.7,$3.46,5.99
2022-12-31,20.78,$2.47,8.4
2022-09-30,20.56,$0.07,295.83
2022-06-30,23.9,$-1.32,0.0
2022-03-31,29.1,$-1.88,0.0
2021-12-31,28.07,$-2.22,0.0
2021-09-30,29.15,$-1.58,0.0
2021-06-30,30.36,$-1.26,0.0
2021-03-31,32.62,$0.03,1105.61
2020-12-31,35.25,$0.43,82.47
2020-09-30,30.47,$1.37,22.21
2020-06-30,47.68,$2.82,16.91
2020-03-31,34.9,$2.81,12.43
2019-12-31,43.84,$2.63,16.64
2019-09-30,38.97,$3.21,12.14
2019-06-30,27.37,$2.76,9.92
2019-03-31,31.98,$3.10,10.33
2018-12-31,25.49,$3.64,7.01
2018-09-30,30.64,$3.02,10.16
2018-06-30,39.47,$3.00,13.18
2018-03-31,30.92,$2.52,12.25
2017-12-31,30.59,$2.18,14.04
2017-09-30,27.35,$2.27,12.04
2017-06-30,28.68,$2.36,12.17
2017-03-31,25.45,$2.87,8.87
2016-12-31,23.98,$2.74,8.74
2016-09-30,20.86,$3.24,6.43
2016-06-30,21.48,$3.12,6.88
2016-03-31,21.14,$2.86,7.4
2015-12-31,21.98,$2.64,8.33
2015-09-30,19.49,$0.76,25.69
2015-06-30,18.79,$3.90,4.82
2015-03-31,17.99,$2.88,6.24
2014-12-31,16.96,$3.92,4.33
2014-09-30,17.52,$5.69,3.08
2014-06-30,16.93,$3.53,4.79
2014-03-31,16.21,$5.45,2.97
2013-12-31,17.32,$4.73,3.66
2013-09-30,16.76,$5.56,3.02
2013-06-30,14.98,$5.41,2.77
2013-03-31,14.83,$4.12,3.6
2012-12-31,13.93,$4.88,2.86
2012-09-30,14.73,$3.71,3.97
2012-06-30,14.09,$3.00,4.7
2012-03-31,14.3,$3.49,4.1
2011-12-31,11.93,$3.98,3.0
2011-09-30,12.53,$4.58,2.74
2011-06-30,12.47,$4.36,2.86
2011-03-31,12.22,$4.20,2.91
2010-12-31,12.41,$3.40,3.65
2010-09-30,12.47,$1.08,11.52
2010-06-30,11.41,$2.19,5.22
2010-03-31,12.39,$1.82,6.8
2009-12-31,11.7,$1.12,10.43
