American Homes 4 Rent Price to Free Cash Flow Ratio Historical Data,American Homes 4 Rent Price to Free Cash Flow Ratio Historical Data,American Homes 4 Rent Price to Free Cash Flow Ratio Historical Data,American Homes 4 Rent Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,36.47,,17.48
2024-12-31,37.42,$2.09,17.94
2024-09-30,38.12,$3.17,12.02
2024-06-30,36.67,$3.02,12.15
2024-03-31,36.03,$2.86,12.61
2023-12-31,34.98,$2.93,11.94
2023-09-30,32.57,$2.88,11.29
2023-06-30,34.07,$2.72,12.54
2023-03-31,30.04,$2.00,15.01
2022-12-31,28.58,$0.74,38.72
2022-09-30,30.94,$-0.09,0.0
2022-06-30,33.25,$-1.20,0.0
2022-03-31,37.35,$-1.40,0.0
2021-12-31,40.5,$-0.85,0.0
2021-09-30,35.32,$0.11,328.51
2021-06-30,35.9,$0.53,67.36
2021-03-31,30.73,$1.06,29.06
2020-12-31,27.57,$1.07,25.76
2020-09-30,26.13,$-0.07,0.0
2020-06-30,24.64,$0.98,25.18
2020-03-31,21.21,$0.78,27.34
2019-12-31,23.91,$0.87,27.61
2019-09-30,23.58,$1.19,19.74
2019-06-30,22.09,$0.33,65.99
2019-03-31,20.61,$0.57,36.05
2018-12-31,17.96,$-0.10,0.0
2018-09-30,19.81,$-0.98,0.0
2018-06-30,20.03,$-1.44,0.0
2018-03-31,18.09,$-1.91,0.0
2017-12-31,19.63,$-1.53,0.0
2017-09-30,19.46,$-0.44,0.0
2017-06-30,20.19,$0.05,391.25
2017-03-31,20.49,$0.21,95.75
2016-12-31,18.68,$0.32,58.66
2016-09-30,19.22,$0.35,54.91
2016-06-30,18.15,$-0.01,0.0
2016-03-31,14.05,$-0.56,0.0
2015-12-31,14.68,$-2.01,0.0
2015-09-30,14.12,$-4.13,0.0
2015-06-30,14.04,$-4.97,0.0
2015-03-31,14.45,$-5.75,0.0
2014-12-31,14.82,$-6.05,0.0
2014-09-30,14.65,$-9.57,0.0
2014-06-30,15.37,$-18.89,0.0
