Fangdd Network Group Price to Free Cash Flow Ratio Historical Data,Fangdd Network Group Price to Free Cash Flow Ratio Historical Data,Fangdd Network Group Price to Free Cash Flow Ratio Historical Data,Fangdd Network Group Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,0.36,,0.0
2021-12-31,104.63,$-31.75,0.0
2021-09-30,249.75,$-144.81,0.0
2021-06-30,684.0,$-144.81,0.0
2021-03-31,1415.25,$-144.81,0.0
2020-12-31,1696.5,$-144.81,0.0
