Vertical Aerospace Price to Free Cash Flow Ratio Historical Data,Vertical Aerospace Price to Free Cash Flow Ratio Historical Data,Vertical Aerospace Price to Free Cash Flow Ratio Historical Data,Vertical Aerospace Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,4.28,,0.0
2024-09-30,6.93,$-1.75,0.0
2023-09-30,1.18,$-3.46,0.0
