GEE Group Price to Free Cash Flow Ratio Historical Data,GEE Group Price to Free Cash Flow Ratio Historical Data,GEE Group Price to Free Cash Flow Ratio Historical Data,GEE Group Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,0.21,,0.0
2024-12-31,0.21,$-0.00,0.0
2024-09-30,0.26,$0.00,0.0
2024-06-30,0.31,$0.02,17.03
2024-03-31,0.36,$0.04,8.5
2023-12-31,0.5,$0.04,11.17
2023-09-30,0.59,$0.05,11.69
2023-06-30,0.51,$0.03,15.02
2023-03-31,0.42,$0.05,7.76
2022-12-31,0.49,$0.06,8.57
2022-09-30,0.63,$0.08,8.0
2022-06-30,0.52,$0.10,5.44
2022-03-31,0.55,$0.03,17.99
2021-12-31,0.57,$0.02,28.08
2021-09-30,0.46,$0.00,0.0
2021-06-30,0.57,$-0.14,0.0
2021-03-31,1.27,$0.05,24.66
2020-12-31,1.0,$0.01,0.0
2020-09-30,1.0,$-0.11,0.0
2020-06-30,0.55,$0.01,45.21
2020-03-31,0.36,$-0.21,0.0
2019-12-31,0.39,$-0.23,0.0
2019-09-30,0.75,$-0.05,0.0
2019-06-30,0.79,$0.02,49.91
2019-03-31,1.2,$0.13,9.18
2018-12-31,0.7,$0.22,3.17
2018-09-30,2.5,$0.12,21.65
2018-06-30,2.3,$0.14,16.99
2018-03-31,2.64,$0.03,83.91
2017-12-31,2.78,$0.03,90.26
2017-09-30,2.95,$-0.00,0.0
2017-06-30,5.16,$-0.09,0.0
2017-03-31,4.95,$-0.04,0.0
2016-12-31,4.33,$-0.02,0.0
2016-09-30,5.23,$0.06,85.74
2016-06-30,4.2,$0.37,11.44
2016-03-31,4.3,$0.47,9.13
2015-12-31,5.94,$0.14,41.71
2015-09-30,4.0,$-0.20,0.0
2015-06-30,9.68,$-0.38,0.0
2015-03-31,9.1,$-0.47,0.0
2014-12-31,12.1,$-0.02,0.0
2014-09-30,1.6,$0.06,27.83
2014-06-30,1.8,$-0.30,0.0
2014-03-31,2.29,$-0.46,0.0
2013-12-31,2.14,$-0.46,0.0
2013-09-30,2.3,$-0.57,0.0
2013-06-30,3.03,$-0.41,0.0
2013-03-31,3.8,$-0.09,0.0
2012-12-31,4.78,$-0.13,0.0
2012-09-30,6.5,$-0.08,0.0
2012-06-30,3.98,$-0.48,0.0
2012-03-31,5.7,$-0.63,0.0
2011-12-31,4.2,$-0.91,0.0
2011-09-30,2.3,$-1.24,0.0
2011-06-30,2.31,$-0.69,0.0
2011-03-31,4.9,$-1.29,0.0
2010-12-31,5.0,$-1.75,0.0
2010-09-30,2.7,$-1.52,0.0
2010-06-30,2.8,$1.18,2.38
2010-03-31,5.1,$-0.16,0.0
2009-12-31,6.9,$-2.46,0.0
