Aldeyra Therapeutics Price to Free Cash Flow Ratio Historical Data,Aldeyra Therapeutics Price to Free Cash Flow Ratio Historical Data,Aldeyra Therapeutics Price to Free Cash Flow Ratio Historical Data,Aldeyra Therapeutics Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,6.72,,0.0
2024-12-31,4.99,$-0.73,0.0
2024-09-30,5.39,$-0.52,0.0
2024-06-30,3.31,$-0.52,0.0
2024-03-31,3.27,$-0.52,0.0
2023-12-31,3.51,$-0.51,0.0
2023-09-30,6.68,$-0.72,0.0
2023-06-30,8.39,$-0.79,0.0
2023-03-31,9.93,$-0.91,0.0
2022-12-31,6.96,$-0.97,0.0
2022-09-30,5.34,$-1.03,0.0
2022-06-30,3.99,$-0.94,0.0
2022-03-31,4.45,$-0.71,0.0
2021-12-31,4.0,$-0.79,0.0
2021-09-30,8.78,$-0.87,0.0
2021-06-30,11.33,$-0.76,0.0
2021-03-31,11.88,$-0.87,0.0
2020-12-31,6.86,$-1.10,0.0
2020-09-30,7.41,$-1.19,0.0
2020-06-30,4.17,$-1.48,0.0
2020-03-31,2.47,$-1.72,0.0
2019-12-31,5.81,$-1.66,0.0
2019-09-30,5.27,$-1.58,0.0
2019-06-30,6.0,$-1.60,0.0
2019-03-31,9.03,$-1.44,0.0
2018-12-31,8.3,$-1.39,0.0
2018-09-30,13.8,$-1.35,0.0
2018-06-30,7.95,$-1.31,0.0
2018-03-31,7.5,$-1.32,0.0
2017-12-31,6.8,$-1.21,0.0
2017-09-30,7.2,$-1.35,0.0
2017-06-30,4.65,$-1.23,0.0
2017-03-31,5.0,$-1.18,0.0
2016-12-31,5.35,$-1.34,0.0
2016-09-30,7.82,$-1.33,0.0
2016-06-30,5.69,$-1.40,0.0
2016-03-31,4.19,$-1.27,0.0
2015-12-31,6.78,$-1.09,0.0
2015-09-30,5.83,$-1.33,0.0
2015-06-30,7.76,$-1.14,0.0
2015-03-31,10.18,$-1.52,0.0
